sample-id,absolute-filepath,direction
DR1014-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1014-E_1_val_1.fq.gz,forward
DR1014-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1014-E_2_val_2.fq.gz,reverse
DR1014-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1014-SAH_1_val_1.fq.gz,forward
DR1014-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1014-SAH_2_val_2.fq.gz,reverse
DR1015-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1015-SAH_1_val_1.fq.gz,forward
DR1015-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1015-SAH_2_val_2.fq.gz,reverse
DR1018-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1018-E_1_val_1.fq.gz,forward
DR1018-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1018-E_2_val_2.fq.gz,reverse
DR1018-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1018-SAH_1_val_1.fq.gz,forward
DR1018-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1018-SAH_2_val_2.fq.gz,reverse
DR1019-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1019-E_1_val_1.fq.gz,forward
DR1019-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1019-E_2_val_2.fq.gz,reverse
DR1019-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1019-SAH_1_val_1.fq.gz,forward
DR1019-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1019-SAH_2_val_2.fq.gz,reverse
DR1020-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1020-SAH_1_val_1.fq.gz,forward
DR1020-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1020-SAH_2_val_2.fq.gz,reverse
DR1021-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1021-SAH_1_val_1.fq.gz,forward
DR1021-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1021-SAH_2_val_2.fq.gz,reverse
DR1025-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1025-E_1_val_1.fq.gz,forward
