sample-id	sample	Source	Date	Year	Location	Week	Total reads	Colect_number
DR1014-E	DR1014-E	Stipe	sep-30	2021	Monte obscuro Emiliano Zapata	1	159896	DRamos 1014
DR1041-E	DR1041-E	Stipe	oct-26	2021	El Castillo/Zentla	5	154884	DRamos 1041
DR1045-E	DR1045-E	Stipe	oct-26	2021	El Castillo/Zentla	5	151162	DRamos 1045
DR1047-E	DR1047-E	Stipe	oct-26	2021	El Castillo/Zentla	5	168228	DRamos 1047
DR1048-E	DR1048-E	Stipe	oct-26	2021	El Castillo/Zentla	5	182892	DRamos 1048
DR1018-E	DR1018-E	Stipe	oct-07	2021	Monte obscuro Emiliano Zapata	2	68578	DRamos 1018
DR1019-E	DR1019-E	Stipe	oct-07	2021	Monte obscuro Emiliano Zapata	2	144270	DRamos 1019
DR1025-E	DR1025-E	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	142622	DRamos 1025
DR1027-E	DR1027-E	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	164732	DRamos 1027
DR1030-E	DR1030-E	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	174886	DRamos 1030
DR1035-E	DR1035-E	Stipe	oct-21	2021	Monte obscuro Emiliano Zapata	4	182032	DRamos 1035
DR1042-E	DR1042-E	Stipe	oct-26	2021	El Castillo/Zentla	5	184348	DRamos 1042
DR1043-E	DR1043-E	Stipe	oct-26	2021	El Castillo/Zentla	5	183260	DRamos 1043
DR1044-E	DR1044-E	Stipe	oct-26	2021	El Castillo/Zentla	5	184192	DRamos 1044
DR1046-E	DR1046-E	Stipe	oct-26	2021	El Castillo/Zentla	5	162534	DRamos 1046
DR1049-E	DR1049-E	Stipe	oct-26	2021	El Castillo/Zentla	5	247528	DRamos 1049
DR1041-H	DR1041-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	198760	DRamos 1041
DR1043-H	DR1043-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	189252	DRamos 1043
DR1045-H	DR1045-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	164924	DRamos 1045
DR1046-H	DR1046-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	165980	DRamos 1046
DR1047-H	DR1047-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	165194	DRamos 1047
DR1048-H	DR1048-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	170314	DRamos 1048
DR1027-H	DR1027-H	Rhizhomorph	oct-14	2021	Monte obscuro Emiliano Zapata	3	259464	DRamos 1027
DR1035-H	DR1035-H	Rhizhomorph	oct-21	2021	Monte obscuro Emiliano Zapata	4	214944	DRamos 1035
DR1042-H	DR1042-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	258996	DRamos 1042
