Sample	Unique Reads	Duplicate Reads
DR1014-E_1	2735.0	77213.0
DR1014-E_2	6472.0	73476.0
DR1014-SAH_1	9967.0	101935.0
DR1014-SAH_2	16325.0	95577.0
DR1015-SAH_1	7637.0	77698.0
DR1015-SAH_2	12745.0	72590.0
DR1018-E_1	3464.0	30825.0
DR1018-E_2	6156.0	28133.0
DR1018-SAH_1	9012.0	96548.0
DR1018-SAH_2	15202.0	90358.0
DR1019-E_1	8566.0	63569.0
DR1019-E_2	13802.0	58333.0
DR1019-SAH_1	8669.0	84021.0
DR1019-SAH_2	14533.0	78157.0
DR1020-SAH_1	8227.0	82711.0
DR1020-SAH_2	13806.0	77132.0
DR1021-SAH_1	8645.0	96158.0
DR1021-SAH_2	14237.0	90566.0
DR1025-E_1	7650.0	63661.0
DR1025-E_2	12573.0	58738.0
DR1025-SAH_1	9265.0	103817.0
DR1025-SAH_2	15536.0	97546.0
DR1027-E_1	7498.0	74868.0
DR1027-E_2	13724.0	68642.0
DR1027-H_1	11282.0	118450.0
DR1027-H_2	16514.0	113218.0
DR1027-SAH_1	8263.0	85749.0
DR1027-SAH_2	13250.0	80762.0
DR1028-SAH_1	8299.0	76972.0
DR1028-SAH_2	12066.0	73205.0
DR1029-SAH_1	8376.0	84600.0
DR1029-SAH_2	13477.0	79499.0
DR1030-E_1	4097.0	83346.0
DR1030-E_2	8175.0	79268.0
DR1030-SAH_1	8150.0	78032.0
DR1030-SAH_2	12532.0	73650.0
DR1034-SAH_1	8389.0	78525.0
DR1034-SAH_2	12347.0	74567.0
DR1035-E_1	7593.0	83423.0
DR1035-E_2	11922.0	79094.0
DR1035-H_1	8217.0	99255.0
DR1035-H_2	13877.0	93595.0
DR1035-SAH_1	8890.0	88064.0
DR1035-SAH_2	13208.0	83746.0
DR1036-SAH_1	8462.0	72496.0
DR1036-SAH_2	13040.0	67918.0
DR1038-A-SAH_1	8077.0	81916.0
DR1038-A-SAH_2	11931.0	78062.0
DR1038-SAH_1	8454.0	78417.0
DR1038-SAH_2	13573.0	73298.0
DR1039-SAH_1	8061.0	74248.0
DR1039-SAH_2	13342.0	68967.0
DR1040-SAH_1	6104.0	79390.0
DR1040-SAH_2	11291.0	74203.0
DR1041-E_1	3272.0	74170.0
DR1041-E_2	7073.0	70369.0
DR1041-H_1	5808.0	93572.0
DR1041-H_2	10748.0	88632.0
DR1041-SAH_1	5445.0	70437.0
DR1041-SAH_2	10012.0	65870.0
DR1042-E_1	4742.0	87432.0
DR1042-E_2	9071.0	83103.0
DR1042-H_1	7859.0	121639.0
DR1042-H_2	13594.0	115904.0
DR1042-SAH_1	8019.0	101603.0
DR1042-SAH_2	14301.0	95321.0
DR1043-E_1	5946.0	85684.0
DR1043-E_2	10492.0	81138.0
DR1043-H_1	5934.0	88692.0
DR1043-H_2	11755.0	82871.0
DR1043-SAH_1	6603.0	76877.0
DR1043-SAH_2	12294.0	71186.0
DR1044-E_1	3827.0	88269.0
DR1044-E_2	7532.0	84564.0
DR1044-SAH_1	6481.0	78788.0
DR1044-SAH_2	11467.0	73802.0
DR1045-E_1	2905.0	72676.0
DR1045-E_2	5985.0	69596.0
DR1045-H_1	4691.0	77771.0
DR1045-H_2	8369.0	74093.0
DR1045-SAH_1	8528.0	84943.0
DR1045-SAH_2	13044.0	80427.0
DR1046-E_1	4419.0	76848.0
DR1046-E_2	9191.0	72076.0
DR1046-H_1	5735.0	77255.0
DR1046-H_2	11141.0	71849.0
DR1046-SAH_1	7678.0	85362.0
DR1046-SAH_2	13881.0	79159.0
DR1047-E_1	6096.0	78018.0
DR1047-E_2	11126.0	72988.0
DR1047-H_1	5851.0	76746.0
DR1047-H_2	11243.0	71354.0
DR1047-SAH_1	7079.0	81849.0
DR1047-SAH_2	12960.0	75968.0
DR1048-E_1	3843.0	87603.0
DR1048-E_2	9214.0	82232.0
DR1048-H_1	4621.0	80536.0
DR1048-H_2	8429.0	76728.0
DR1048-SAH_1	6828.0	99331.0
DR1048-SAH_2	13681.0	92478.0
