Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DR1014-E_1	DR1014-E_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79948.0	0.0	301.0	56.0	3.42097363286136	301.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
DR1014-E_2	DR1014-E_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79948.0	0.0	301.0	55.0	8.095261920248161	301.0	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
DR1014-SAH_1	DR1014-SAH_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111902.0	0.0	301.0	58.0	8.906900680952976	301.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	fail	pass
DR1014-SAH_2	DR1014-SAH_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111902.0	0.0	301.0	57.0	14.588657932834087	301.0	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
DR1015-SAH_1	DR1015-SAH_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85335.0	0.0	301.0	57.0	8.949434581355833	301.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	fail	pass
DR1015-SAH_2	DR1015-SAH_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85335.0	0.0	301.0	57.0	14.935255170797445	301.0	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	pass
DR1018-E_1	DR1018-E_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34289.0	0.0	301.0	55.0	10.102365190002626	301.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
DR1018-E_2	DR1018-E_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34289.0	0.0	301.0	56.0	17.95327947738342	301.0	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
DR1018-SAH_1	DR1018-SAH_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105560.0	0.0	301.0	58.0	8.537324744221296	301.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	fail	pass
DR1018-SAH_2	DR1018-SAH_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105560.0	0.0	301.0	57.0	14.400341038272071	301.0	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
