Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DR1014-E_1	96.57902636713864	56.0	301.0	45.45454545454545	79948.0
DR1014-E_2	91.90473807975184	55.0	301.0	45.45454545454545	79948.0
DR1014-SAH_1	91.09309931904703	58.0	301.0	36.36363636363637	111902.0
DR1014-SAH_2	85.41134206716592	57.0	301.0	36.36363636363637	111902.0
DR1015-SAH_1	91.05056541864417	57.0	301.0	36.36363636363637	85335.0
DR1015-SAH_2	85.06474482920255	57.0	301.0	45.45454545454545	85335.0
DR1018-E_1	89.89763480999737	55.0	301.0	45.45454545454545	34289.0
DR1018-E_2	82.04672052261658	56.0	301.0	45.45454545454545	34289.0
DR1018-SAH_1	91.4626752557787	58.0	301.0	36.36363636363637	105560.0
DR1018-SAH_2	85.59965896172793	57.0	301.0	36.36363636363637	105560.0
DR1019-E_1	88.12504332154987	56.0	301.0	45.45454545454545	72135.0
DR1019-E_2	80.86643099743537	56.0	301.0	54.54545454545454	72135.0
DR1019-SAH_1	90.64731902039055	58.0	301.0	36.36363636363637	92690.0
DR1019-SAH_2	84.32085446110692	57.0	301.0	45.45454545454545	92690.0
DR1020-SAH_1	90.95317688974906	58.0	301.0	36.36363636363637	90938.0
DR1020-SAH_2	84.81822780355847	57.0	301.0	36.36363636363637	90938.0
DR1021-SAH_1	91.75119032852113	58.0	301.0	36.36363636363637	104803.0
DR1021-SAH_2	86.41546520614868	57.0	301.0	36.36363636363637	104803.0
DR1025-E_1	89.27234227538528	57.0	301.0	45.45454545454545	71311.0
DR1025-E_2	82.36877901025088	56.0	301.0	45.45454545454545	71311.0
DR1025-SAH_1	91.80683044162643	58.0	301.0	36.36363636363637	113082.0
DR1025-SAH_2	86.26218142586795	57.0	301.0	36.36363636363637	113082.0
DR1027-E_1	90.89672923293593	54.0	301.0	36.36363636363637	82366.0
DR1027-E_2	83.33778500837724	54.0	301.0	54.54545454545454	82366.0
DR1027-H_1	91.30361052014923	58.0	301.0	36.36363636363637	129732.0
DR1027-H_2	87.27068109641415	57.0	301.0	45.45454545454545	129732.0
DR1027-SAH_1	91.21069650682891	58.0	301.0	36.36363636363637	94012.0
DR1027-SAH_2	85.90605454622815	57.0	301.0	36.36363636363637	94012.0
DR1028-SAH_1	90.26750008795487	58.0	301.0	36.36363636363637	85271.0
DR1028-SAH_2	85.84981998569268	57.0	301.0	36.36363636363637	85271.0
DR1029-SAH_1	90.99122354155911	58.0	301.0	36.36363636363637	92976.0
DR1029-SAH_2	85.50486146962658	57.0	301.0	36.36363636363637	92976.0
DR1030-E_1	95.31466212275426	55.0	301.0	45.45454545454545	87443.0
DR1030-E_2	90.65105268574958	56.0	301.0	45.45454545454545	87443.0
DR1030-SAH_1	90.54326889605719	58.0	301.0	36.36363636363637	86182.0
DR1030-SAH_2	85.45868046691885	57.0	301.0	45.45454545454545	86182.0
DR1034-SAH_1	90.34793013783741	58.0	301.0	36.36363636363637	86914.0
DR1034-SAH_2	85.79400326759786	57.0	301.0	36.36363636363637	86914.0
DR1035-E_1	91.65751076733761	56.0	301.0	45.45454545454545	91016.0
DR1035-E_2	86.90120418387976	56.0	301.0	45.45454545454545	91016.0
DR1035-H_1	92.35428762840554	57.0	301.0	45.45454545454545	107472.0
DR1035-H_2	87.08779961292244	57.0	301.0	45.45454545454545	107472.0
DR1035-SAH_1	90.83070322008375	58.0	301.0	36.36363636363637	96954.0
DR1035-SAH_2	86.37704478412442	57.0	301.0	45.45454545454545	96954.0
DR1036-SAH_1	89.54766669137084	58.0	301.0	36.36363636363637	80958.0
DR1036-SAH_2	83.89288272931644	57.0	301.0	45.45454545454545	80958.0
DR1038-A-SAH_1	91.0248574889158	59.0	301.0	36.36363636363637	89993.0
DR1038-A-SAH_2	86.74230217905837	58.0	301.0	36.36363636363637	89993.0
DR1038-SAH_1	90.2683289014746	58.0	301.0	36.36363636363637	86871.0
DR1038-SAH_2	84.37568348470721	57.0	301.0	45.45454545454545	86871.0
DR1039-SAH_1	90.20641728122077	58.0	301.0	36.36363636363637	82309.0
DR1039-SAH_2	83.79035099442345	57.0	301.0	36.36363636363637	82309.0
DR1040-SAH_1	92.86031768311227	55.0	301.0	27.27272727272727	85494.0
DR1040-SAH_2	86.79322525557349	55.0	301.0	45.45454545454545	85494.0
DR1041-E_1	95.77490250768317	55.0	301.0	45.45454545454545	77442.0
DR1041-E_2	90.8667131530694	56.0	301.0	45.45454545454545	77442.0
