sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
DR1014-E	77062	72828	94.51	72704	71365	92.61	69122	89.7
DR1014-SAH	105800	96708	91.41	86868	54305	51.33	51228	48.42
DR1015-SAH	80701	75275	93.28	67713	41112	50.94	38344	47.51
DR1018-E	31861	29541	92.72	28877	26311	82.58	25392	79.7
DR1018-SAH	99793	92069	92.26	82396	49976	50.08	46441	46.54
DR1019-E	67306	61694	91.66	60559	55509	82.47	53949	80.15
DR1019-SAH	87852	81231	92.46	72530	43492	49.51	40977	46.64
DR1020-SAH	86027	79067	91.91	71220	44132	51.3	41602	48.36
DR1021-SAH	99370	92060	92.64	83533	53627	53.97	50230	50.55
DR1025-E	66586	61486	92.34	60581	54945	82.52	53114	79.77
DR1025-SAH	107341	99419	92.62	89809	56758	52.88	53199	49.56
DR1027-E	77126	70520	91.43	69780	65068	84.37	63043	81.74
DR1027-H	123766	113861	92	107194	81265	65.66	76625	61.91
DR1027-SAH	89814	83642	93.13	75180	46729	52.03	44101	49.1
DR1028-SAH	81120	74216	91.49	65663	38590	47.57	35839	44.18
DR1029-SAH	87654	80279	91.59	72168	46598	53.16	43739	49.9
DR1030-E	83435	78033	93.53	76938	72968	87.45	59156	70.9
DR1030-SAH	82090	75742	92.27	66918	39205	47.76	36806	44.84
DR1034-SAH	82605	76285	92.35	66407	38314	46.38	35312	42.75
DR1035-E	86600	80395	92.83	76827	60581	69.95	53232	61.47
DR1035-H	101921	94110	92.34	90978	79747	78.24	76190	74.75
DR1035-SAH	93123	86260	92.63	76686	45077	48.41	41625	44.7
DR1036-SAH	76087	68404	89.9	60052	33143	43.56	30792	40.47
DR1038-A-SAH	86051	79735	92.66	70390	40720	47.32	38106	44.28
DR1038-SAH	82479	76885	93.22	67040	36618	44.4	33715	40.88
DR1039-SAH	77714	71167	91.58	61756	34104	43.88	31682	40.77
DR1040-SAH	82112	76865	93.61	72072	49991	60.88	39760	48.42
DR1041-E	73945	69132	93.49	68434	65101	88.04	51780	70.03
DR1041-H	95850	90105	94.01	88037	79055	82.48	72857	76.01
DR1041-SAH	72356	66859	92.4	62271	40771	56.35	35401	48.93
DR1042-E	88293	82957	93.96	81804	75416	85.42	59256	67.11
DR1042-H	124520	115944	93.11	111502	88385	70.98	65336	52.47
DR1042-SAH	104914	96994	92.45	90171	61324	58.45	50774	48.4
DR1043-E	87264	81049	92.88	79720	73310	84.01	65665	75.25
DR1043-H	90572	83784	92.51	82811	79231	87.48	75691	83.57
DR1043-SAH	79427	73576	92.63	67484	43800	55.14	36640	46.13
DR1044-E	88048	82809	94.05	81749	75686	85.96	44156	50.15
DR1044-SAH	81036	74132	91.48	69530	47294	58.36	38927	48.04
DR1045-E	73068	68782	94.13	68235	65932	90.23	57042	78.07
DR1045-H	79628	74759	93.89	73795	68749	86.34	62021	77.89
DR1045-SAH	89612	82696	92.28	74890	46182	51.54	40636	45.35
DR1046-E	76919	70484	91.63	69475	63766	82.9	52287	67.98
DR1046-H	79654	74343	93.33	73107	68339	85.79	65643	82.41
DR1046-SAH	88817	82332	92.7	75358	48816	54.96	42191	47.5
DR1047-E	80083	74107	92.54	72869	67441	84.21	63757	79.61
DR1047-H	78618	72996	92.85	72172	69333	88.19	66897	85.09
DR1047-SAH	84634	78556	92.82	72204	47948	56.65	40588	47.96
DR1048-E	87410	81170	92.86	80437	75423	86.29	59455	68.02
DR1048-H	82371	77097	93.6	76000	69812	84.75	61439	74.59
DR1048-SAH	101371	94309	93.03	89040	62029	61.19	53486	52.76
DR1049-E	117434	109346	93.11	105215	85422	72.74	71278	60.7
DR1049-H	109233	100795	92.28	93021	63534	58.16	55993	51.26
DR1049-SAH	91727	84720	92.36	76001	47738	52.04	42474	46.3
E-1	111769	100171	89.62	98755	89932	80.46	84612	75.7
E-10	199133	182985	91.89	181860	171344	86.05	147781	74.21
E-2	107643	98386	91.4	97648	93893	87.23	92127	85.59
E-3	140693	125605	89.28	124843	121756	86.54	120060	85.33
E-4	198799	184386	92.75	183576	181650	91.37	178499	89.79
E-5	114518	106999	93.43	106263	101567	88.69	97048	84.74
E-6	125572	117630	93.68	116902	113426	90.33	95603	76.13
E-7	123608	114487	92.62	113480	107797	87.21	99398	80.41
E-8	119008	109199	91.76	106458	93814	78.83	89644	75.33
E-9	161265	150064	93.05	148489	138598	85.94	117984	73.16
H-1	191307	175742	91.86	169419	136161	71.17	115888	60.58
H-10	211651	198186	93.64	196993	189266	89.42	127734	60.35
H-2	202820	185620	91.52	179235	142809	70.41	114074	56.24
H-3	82024	73567	89.69	70809	56196	68.51	52273	63.73
H-4	131615	122623	93.17	120253	107111	81.38	94479	71.78
H-5	129482	119200	92.06	117236	105103	81.17	85751	66.23
H-6	153349	141569	92.32	135988	105221	68.62	86924	56.68
H-7	158857	146624	92.3	142697	120459	75.83	101911	64.15
H-8	157986	143503	90.83	138248	113781	72.02	104084	65.88
H-9	150705	138501	91.9	136531	125474	83.26	108620	72.07
SAH-1	160183	148110	92.46	141769	110595	69.04	96593	60.3
SAH-10	164306	149203	90.81	143163	112226	68.3	88988	54.16
SAH-2	201187	184423	91.67	174853	129643	64.44	105544	52.46
SAH-3	138971	121398	87.35	116157	90375	65.03	84778	61
SAH-4	169901	155346	91.43	148873	116466	68.55	102009	60.04
SAH-5	176863	162926	92.12	155666	120496	68.13	96364	54.49
