Sample	Top over-represented sequence	Sum of remaining over-represented sequences
DR1014-E_1_val_1	16.485427318263216	71.42820066959074
DR1014-E_2_val_2	9.947834211414186	73.4849861150761
DR1014-SAH_1_val_1	3.3487712665406426	58.956521739130444
DR1014-SAH_2_val_2	1.94234404536862	58.05009451795839
DR1015-SAH_1_val_1	4.033407268807078	62.32884350875453
DR1015-SAH_2_val_2	2.306043295622111	59.03024745666105
DR1018-E_1_val_1	12.551395122563635	61.262986095853734
DR1018-E_2_val_2	5.963403534101253	64.43928313612247
DR1018-SAH_1_val_1	3.647550429388835	62.479332217690576
DR1018-SAH_2_val_2	1.9650676901185455	58.14936919423206
DR1019-E_1_val_1	2.8154993611267938	57.25789676997591
DR1019-E_2_val_2	1.5362671975752533	55.20607375271153
DR1019-SAH_1_val_1	2.8320356963984885	59.83130719847013
DR1019-SAH_2_val_2	1.600418886308792	56.15239266038338
DR1020-SAH_1_val_1	3.1466865053994675	59.3976309763214
DR1020-SAH_2_val_2	1.7831611005847001	58.53394864403037
DR1021-SAH_1_val_1	3.179027875616383	63.10153970011072
DR1021-SAH_2_val_2	1.7198349602495722	61.600080507195344
DR1025-E_1_val_1	3.8641756525395725	59.77082269546151
DR1025-E_2_val_2	3.3280269125642024	54.4814225212507
DR1025-SAH_1_val_1	3.4926076708806515	61.87477291994667
DR1025-SAH_2_val_2	1.9014169795325178	58.1511258512591
DR1027-E_1_val_1	6.025205507870238	64.52169177709196
DR1027-E_2_val_2	3.6459818997484637	61.19985478308223
DR1027-H_1_val_1	2.5443175023835303	62.576959746618606
DR1027-H_2_val_2	2.336667582373188	56.29090380233673
DR1027-SAH_1_val_1	3.6319504754269936	61.67078629166943
DR1027-SAH_2_val_2	2.062039325717594	57.57565635647011
DR1028-SAH_1_val_1	2.657790927021696	61.21794871794868
DR1028-SAH_2_val_2	1.8577416173570018	59.37006903353058
DR1029-SAH_1_val_1	2.473361170054989	62.03367786980627
DR1029-SAH_2_val_2	2.034134209505556	58.95566659821573
DR1030-E_1_val_1	21.970396116737582	63.273206687840805
DR1030-E_2_val_2	10.53394858272907	72.54509498411936
DR1030-SAH_1_val_1	2.7920574978681936	60.609087586795
DR1030-SAH_2_val_2	1.841880862468023	58.10939213058833
DR1034-SAH_1_val_1	2.4090551419405606	61.15368319109012
DR1034-SAH_2_val_2	2.2262574904666788	60.093214696446985
DR1035-E_1_val_1	6.245958429561202	63.42725173210161
DR1035-E_2_val_2	3.920323325635104	63.39260969976906
DR1035-H_1_val_1	2.4921262546482077	66.96460984487983
DR1035-H_2_val_2	2.2017052422955032	61.89499710560138
DR1035-SAH_1_val_1	3.1002008096818185	60.90224756504838
DR1035-SAH_2_val_2	1.6848683998582519	59.17227752542338
DR1036-SAH_1_val_1	3.2029124554785966	59.73950872028076
DR1036-SAH_2_val_2	1.79662754478426	58.371338073521095
DR1038-A-SAH_1_val_1	2.6821303645512544	61.06727405840719
DR1038-A-SAH_2_val_2	1.6327526699282984	60.150375939849624
DR1038-SAH_1_val_1	3.894324615962851	59.594563464639485
DR1038-SAH_2_val_2	1.9532244571345434	57.45704967325012
DR1039-SAH_1_val_1	3.7046092081220885	60.04580899194482
DR1039-SAH_2_val_2	2.0691252541369636	56.248552384383764
DR1040-SAH_1_val_1	3.860580670303975	71.70450116913486
DR1040-SAH_2_val_2	2.3882014809041308	66.37519485580665
DR1041-E_1_val_1	10.161606599499628	77.71992697274999
DR1041-E_2_val_2	9.0959496923389	74.2849415105822
DR1041-H_1_val_1	3.453312467396975	75.70579029733968
DR1041-H_2_val_2	3.3489827856025043	68.22117892540432
DR1041-SAH_1_val_1	6.9254795732212955	69.27276245231914
DR1041-SAH_2_val_2	1.8049643429708662	66.34004090883961
DR1042-E_1_val_1	11.823134336810392	73.74197274982158
DR1042-E_2_val_2	8.438947594939576	72.67620309650822
DR1042-H_1_val_1	5.533247671056858	70.41117892707997
DR1042-H_2_val_2	2.6027947317699964	66.75152585929973
DR1042-SAH_1_val_1	5.480679413614961	65.41738948090813
DR1042-SAH_2_val_2	2.140801037039861	61.92977105057474
DR1043-E_1_val_1	3.6108819215254857	77.18417675100845
DR1043-E_2_val_2	5.188852218555189	69.79854235423542
DR1043-H_1_val_1	2.5879962902442255	74.6488981142075
DR1043-H_2_val_2	2.3384710506558317	67.37512697080771
DR1043-SAH_1_val_1	5.889684867866091	65.38204892542845
DR1043-SAH_2_val_2	2.001838165862994	61.995291273748194
DR1044-E_1_val_1	10.431809921860804	77.39869162275122
DR1044-E_2_val_2	10.963338179174995	73.86879883699798
DR1044-SAH_1_val_1	5.2754331408262995	67.77605015055035
DR1044-SAH_2_val_2	1.7979663359494544	67.42805666617306
DR1045-E_1_val_1	18.495100454371272	71.33355230743967
DR1045-E_2_val_2	10.035857009908579	74.76597142387912
DR1045-H_1_val_1	5.769327372281107	77.70131109659916
DR1045-H_2_val_2	4.9567991158888836	71.81519063645953
DR1045-SAH_1_val_1	3.0319600053564257	63.16006784805613
DR1045-SAH_2_val_2	2.410391465428737	57.846047404365464
DR1046-E_1_val_1	9.63221050715688	75.02567636084711
DR1046-E_2_val_2	6.67325368244517	73.30048492570106
DR1046-H_1_val_1	2.114143671378713	71.66620634243105
DR1046-H_2_val_2	2.1982574635297665	62.727546639214616
DR1046-SAH_1_val_1	4.883074186248129	64.690318294921
DR1046-SAH_2_val_2	1.6449553576454958	59.10129817489893
DR1047-E_1_val_1	3.123009877252351	69.78884407427292
DR1047-E_2_val_2	2.544859708052895	61.41253449546095
DR1047-H_1_val_1	2.9967691877178253	67.25304637614795
DR1047-H_2_val_2	1.882520542369432	59.90612836754941
DR1047-SAH_1_val_1	6.212633220691448	63.61391402982251
DR1047-SAH_2_val_2	2.447007112980599	59.11690337216719
DR1048-E_1_val_1	6.52442512298364	82.61983754719138
DR1048-E_2_val_2	6.991190939251801	72.7033520192198
DR1048-H_1_val_1	3.2778526423134355	80.18477376746662
DR1048-H_2_val_2	4.35590195578541	71.59437180561115
DR1048-SAH_1_val_1	6.236497617661856	70.58428939242981
DR1048-SAH_2_val_2	1.7016701028893866	66.25267581458202
DR1049-E_1_val_1	5.999965938314287	67.82958938637869
DR1049-E_2_val_2	4.036309756969873	65.60706439361682
DR1049-H_1_val_1	3.664643468548882	61.66634625067517
DR1049-H_2_val_2	2.197138227458735	57.695934378804964
DR1049-SAH_1_val_1	4.717258822375092	60.59393635461756
DR1049-SAH_2_val_2	2.04846991616427	57.34625573713305
E-10_1_val_1	8.87848824654879	78.70769787026765
E-10_2_val_2	7.283072117629925	82.04014402434554
E-1_1_val_1	7.390242374898228	68.19780082133688
E-1_2_val_2	5.660782506777371	70.72444058728273
E-2_1_val_1	6.305101121299109	74.87714017632362
E-2_2_val_2	6.6005220961883255	76.74070770974426
E-3_1_val_1	4.4579332305089805	69.3374936919392
E-3_2_val_2	5.724520765070046	68.23153959329889
E-4_1_val_1	14.233471999356134	70.69452059618007
E-4_2_val_2	9.31191806799833	77.21266203552324
E-5_1_val_1	7.451230374264307	77.15468310658588
E-5_2_val_2	6.564906826874378	76.95209486718244
E-6_1_val_1	9.053769948714683	79.56630459019526
E-6_2_val_2	11.80517949861434	79.0829165737585
E-7_1_val_1	6.30784415248204	81.27143874182904
E-7_2_val_2	6.154132418613682	82.61682091773994
E-8_1_val_1	3.374563054584566	71.75988168862597
E-8_2_val_2	3.7678139284753964	72.03969481043288
E-9_1_val_1	10.110067280563047	75.89371531330416
E-9_2_val_2	7.026323132731839	79.808389917217
H-10_1_val_1	11.836939112028764	76.42156191088155
H-10_2_val_2	7.9834255448828495	82.64265229079946
H-1_1_val_1	6.390252316956515	68.51500467834428
H-1_2_val_2	4.696639432953316	67.56156335105361
H-2_1_val_1	5.11882457351346	72.61414061729612
H-2_2_val_2	4.481806527955823	71.4111034414752
H-3_1_val_1	2.790646640007803	71.08041548814978
H-3_2_val_2	2.604115868526285	66.68170291621972
H-4_1_val_1	4.359685446187744	75.53242411579238
H-4_2_val_2	3.9190061923033084	72.27291722068156
H-5_1_val_1	7.760924298358073	73.17387745014753
H-5_2_val_2	6.74302219613537	73.94155172147481
H-6_1_val_1	5.384449849689271	69.57854306190445
H-6_2_val_2	4.532797735883507	69.49116068575603
H-7_1_val_1	4.692870362210276	74.1813443452644
H-7_2_val_2	4.434778229613869	72.0158884034798
H-8_1_val_1	7.068347828288582	67.27494841315053
H-8_2_val_2	2.9458306432215515	70.34040990973881
H-9_1_val_1	5.870409077336518	77.52894728111208
H-9_2_val_2	5.43976643110713	79.03785541289274
SAH-10_1_val_1	8.414787043686779	64.95989190899903
SAH-10_2_val_2	5.895098170486775	66.29155356469028
SAH-1_1_val_1	4.642190494621777	68.07026962911173
