Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DR1014-E_1_val_1	96.60533077262464	56.0	299.57211076795306	45.45454545454545	77062.0
DR1014-E_2_val_2	94.00223196906387	55.0	296.7602709506631	54.54545454545454	77062.0
DR1014-SAH_1_val_1	91.09168241965973	58.0	299.0109829867675	36.36363636363637	105800.0
DR1014-SAH_2_val_2	87.91682419659736	57.0	295.6656710775047	36.36363636363637	105800.0
DR1015-SAH_1_val_1	90.98772010260096	57.0	299.17282313725974	36.36363636363637	80701.0
DR1015-SAH_2_val_2	87.41403452249662	56.0	295.23577155177753	36.36363636363637	80701.0
DR1018-E_1_val_1	89.9814820627099	55.0	299.381940303192	45.45454545454545	31861.0
DR1018-E_2_val_2	86.26847870437211	56.0	295.8762122971658	45.45454545454545	31861.0
DR1018-SAH_1_val_1	91.42725441664246	58.0	299.05628651308206	36.36363636363637	99793.0
DR1018-SAH_2_val_2	87.93001513132184	57.0	295.2668624051787	36.36363636363637	99793.0
DR1019-E_1_val_1	88.36210739012867	56.0	299.0402638694916	36.36363636363637	67306.0
DR1019-E_2_val_2	84.27034736873384	55.0	295.29123703681694	54.54545454545454	67306.0
DR1019-SAH_1_val_1	90.63880162090788	58.0	299.1327459818786	36.36363636363637	87852.0
DR1019-SAH_2_val_2	86.73678459226882	57.0	295.6173336975823	36.36363636363637	87852.0
DR1020-SAH_1_val_1	90.90169365431782	58.0	299.1135573715229	36.36363636363637	86027.0
DR1020-SAH_2_val_2	87.24237739314401	57.0	295.38398409801573	36.36363636363637	86027.0
DR1021-SAH_1_val_1	91.72587299989937	58.0	299.1056858206702	36.36363636363637	99370.0
DR1021-SAH_2_val_2	88.58508604206502	57.0	295.42062996880344	36.36363636363637	99370.0
DR1025-E_1_val_1	89.54585047907969	57.0	299.1595830955456	45.45454545454545	66586.0
DR1025-E_2_val_2	85.61409305259363	56.0	295.36809539542844	45.45454545454545	66586.0
DR1025-SAH_1_val_1	91.80741748260218	58.0	299.1431978461166	36.36363636363637	107341.0
DR1025-SAH_2_val_2	88.5057899591023	57.0	295.51004741897316	36.36363636363637	107341.0
DR1027-E_1_val_1	91.24290122656433	54.0	299.06661826102743	36.36363636363637	77126.0
DR1027-E_2_val_2	86.96807820968286	53.0	295.6372170214973	54.54545454545454	77126.0
DR1027-H_1_val_1	91.3166782476609	57.0	299.04565066334857	36.36363636363637	123766.0
DR1027-H_2_val_2	89.47691611589613	56.0	296.1119532020102	45.45454545454545	123766.0
DR1027-SAH_1_val_1	91.1650744872737	58.0	299.16643285011247	36.36363636363637	89814.0
DR1027-SAH_2_val_2	87.8482196539515	56.0	295.7735765025497	36.36363636363637	89814.0
DR1028-SAH_1_val_1	90.2465483234714	58.0	298.892825443787	36.36363636363637	81120.0
DR1028-SAH_2_val_2	87.79462524654832	57.0	295.68035009861933	36.36363636363637	81120.0
DR1029-SAH_1_val_1	90.9393752709517	58.0	299.0576128870331	36.36363636363637	87654.0
DR1029-SAH_2_val_2	87.80318068770393	57.0	295.21609966459033	45.45454545454545	87654.0
DR1030-E_1_val_1	95.40960028764907	56.0	299.57207406963505	45.45454545454545	83435.0
DR1030-E_2_val_2	93.27140888116497	56.0	296.79952058488647	45.45454545454545	83435.0
DR1030-SAH_1_val_1	90.52990620051163	58.0	299.1127055670605	36.36363636363637	82090.0
DR1030-SAH_2_val_2	87.49055914240468	57.0	295.7439883055183	36.36363636363637	82090.0
DR1034-SAH_1_val_1	90.3226196961443	58.0	299.10627685975425	36.36363636363637	82605.0
DR1034-SAH_2_val_2	87.85182495006356	57.0	295.4959142909025	45.45454545454545	82605.0
DR1035-E_1_val_1	91.62586605080831	56.0	299.2735796766744	45.45454545454545	86600.0
DR1035-E_2_val_2	89.50577367205543	56.0	296.2773672055427	45.45454545454545	86600.0
DR1035-H_1_val_1	92.35191962402253	57.0	299.1935518686041	45.45454545454545	101921.0
DR1035-H_2_val_2	89.77050853111724	56.0	295.87382384395755	36.36363636363637	101921.0
DR1035-SAH_1_val_1	90.81752091320082	58.0	299.10413109543293	36.36363636363637	93123.0
DR1035-SAH_2_val_2	88.19518271533349	56.0	296.27024473008817	45.45454545454545	93123.0
DR1036-SAH_1_val_1	89.53434883751495	58.0	298.7262475850014	36.36363636363637	76087.0
DR1036-SAH_2_val_2	86.64160763336707	57.0	295.3906449196315	36.36363636363637	76087.0
DR1038-A-SAH_1_val_1	91.02741397543318	59.0	299.0710160253803	36.36363636363637	86051.0
DR1038-A-SAH_2_val_2	88.44871064833646	57.0	295.78552253895947	36.36363636363637	86051.0
DR1038-SAH_1_val_1	90.21690369669855	58.0	299.20486426848043	36.36363636363637	82479.0
DR1038-SAH_2_val_2	86.6523599946653	56.0	295.6939827107506	36.36363636363637	82479.0
DR1039-SAH_1_val_1	90.12790488200324	58.0	299.0864194353656	36.36363636363637	77714.0
DR1039-SAH_2_val_2	86.27917749697609	56.0	295.4639575880794	36.36363636363637	77714.0
DR1040-SAH_1_val_1	92.90115939204988	55.0	299.3577552611068	36.36363636363637	82112.0
DR1040-SAH_2_val_2	88.96994349181605	54.0	296.2781810210444	45.45454545454545	82112.0
DR1041-E_1_val_1	95.77253363986748	55.0	299.58431266481847	45.45454545454545	73945.0
DR1041-E_2_val_2	93.45594698762594	55.0	296.31023057678004	45.45454545454545	73945.0
DR1041-H_1_val_1	94.21074595722483	56.0	299.4466979655712	36.36363636363637	95850.0
DR1041-H_2_val_2	91.094418362024	55.0	296.49124673969743	45.45454545454545	95850.0
DR1041-SAH_1_val_1	92.8520095085411	57.0	299.29733539720274	27.27272727272727	72356.0
DR1041-SAH_2_val_2	89.17297805296036	56.0	296.0501133285422	45.45454545454545	72356.0
DR1042-E_1_val_1	94.98827766640618	54.0	299.5006625666814	36.36363636363637	88293.0
DR1042-E_2_val_2	92.74574428323876	54.0	296.8913277383258	45.45454545454545	88293.0
DR1042-H_1_val_1	93.9503694185673	56.0	299.3632830067459	45.45454545454545	124520.0
DR1042-H_2_val_2	91.53389013813042	55.0	296.68014776742694	45.45454545454545	124520.0
DR1042-SAH_1_val_1	92.71689193053358	56.0	299.306727414835	27.27272727272727	104914.0
DR1042-SAH_2_val_2	89.17208380197114	55.0	296.33454067140707	36.36363636363637	104914.0
DR1043-E_1_val_1	93.50820498716539	55.0	299.3528144481115	45.45454545454545	87264.0
DR1043-E_2_val_2	91.36757425742574	55.0	296.25323157315734	45.45454545454545	87264.0
DR1043-H_1_val_1	93.76407719825112	55.0	299.30742392792473	45.45454545454545	90572.0
DR1043-H_2_val_2	90.06646645762487	55.0	296.47992757143487	54.54545454545454	90572.0
DR1043-SAH_1_val_1	92.07700152341144	56.0	299.342440228134	27.27272727272727	79427.0
DR1043-SAH_2_val_2	87.80137736537954	56.0	295.99277323831944	36.36363636363637	79427.0
DR1044-E_1_val_1	95.91472833000182	55.0	299.57518626203887	45.45454545454545	88048.0
DR1044-E_2_val_2	94.48482645829547	55.0	296.9142286025804	54.54545454545454	88048.0
DR1044-SAH_1_val_1	92.45397107458413	56.0	299.10030110074536	36.36363636363637	81036.0
DR1044-SAH_2_val_2	89.18998963423664	55.0	295.88123796831036	36.36363636363637	81036.0
DR1045-E_1_val_1	96.21311654896809	55.0	299.5897520118246	45.45454545454545	73068.0
DR1045-E_2_val_2	94.0124267805332	55.0	296.9421908359337	45.45454545454545	73068.0
DR1045-H_1_val_1	94.35876827246697	55.0	299.4547646556488	45.45454545454545	79628.0
DR1045-H_2_val_2	91.76545938614558	55.0	296.7246194805847	45.45454545454545	79628.0
DR1045-SAH_1_val_1	90.85055572914342	56.0	299.1118153818685	36.36363636363637	89612.0
DR1045-SAH_2_val_2	88.23929830826229	55.0	296.4818104718118	45.45454545454545	89612.0
DR1046-E_1_val_1	94.573512396157	55.0	299.4290357388942	36.36363636363637	76919.0
DR1046-E_2_val_2	91.7900648734383	55.0	295.8639347885438	45.45454545454545	76919.0
DR1046-H_1_val_1	93.07002787054009	56.0	299.3853667110252	36.36363636363637	79654.0
DR1046-H_2_val_2	88.88568056845858	55.0	296.43234489165644	45.45454545454545	79654.0
DR1046-SAH_1_val_1	91.7707195694518	56.0	299.27167096389206	45.45454545454545	88817.0
DR1046-SAH_2_val_2	87.53391805622798	55.0	296.32135739779545	54.54545454545454	88817.0
