""	"observed"	"chao1"	"diversity_inverse_simpson"	"diversity_gini_simpson"	"diversity_shannon"	"diversity_fisher"	"diversity_coverage"	"evenness_camargo"	"evenness_pielou"	"evenness_simpson"	"evenness_evar"	"evenness_bulla"	"dominance_dbp"	"dominance_dmn"	"dominance_absolute"	"dominance_relative"	"dominance_simpson"	"dominance_core_abundance"	"dominance_gini"	"rarity_log_modulo_skewness"	"rarity_low_abundance"	"rarity_rare_abundance"
"DR1014-E"	128	128	3.01840107558621	0.668698766347415	2.10381026757662	15.2177028431012	1	0.986468076360979	0.433593805714868	0.0235812584030173	0.223973248913001	0.209358139695454	0.556244062842528	0.689017172086226	38061	0.556244062842528	0.331301233652585	0.00119839240043844	0.998634005849385	2.06091322999113	0.0700036536353672	0.98407014979905
"DR1014-SAH"	2038	2038	555.690353842253	0.998200436640504	7.00474970091356	454.338180959319	273	0.801095657261782	0.91929176232432	0.272664550462342	0.510576299674895	0.59112933398395	0.0149017836983518	0.0246606959183161	594	0.0149017836983518	0.00179956335949621	0.00900629688166378	0.901205002631002	2.06142303617716	0.738265472516997	0.914201851433732
"DR1015-SAH"	1975	1975	369.193378704088	0.997291392376781	6.90550699754283	462.369006985394	243	0.819983781839381	0.910017454601756	0.186933356305867	0.525734892518224	0.58037574269025	0.0339294463498285	0.0436366976972073	1108	0.0339294463498285	0.00270860762321935	0.0124326310632043	0.906428139047534	2.06142303617716	0.720143312101911	0.928068348848604
"DR1018-E"	762	762	5.14030629892192	0.805459063750786	3.81059656756838	150.523444409714	4	0.952983700727412	0.574235572211308	0.00674580879123611	0.433200038624907	0.335174293493671	0.437018538897824	0.47312283077965	10325	0.437018538897824	0.194540936249214	0.00660289511555066	0.984623908870361	2.06142068434617	0.286294760010158	0.956615592990773
"DR1018-SAH"	1776	1776	429.377062719642	0.997671044667207	6.76786203352586	387.637871167904	199	0.822989594550118	0.904538153252559	0.241766364143943	0.459922561473725	0.552582016798574	0.017959597576922	0.0301817308462093	673	0.017959597576922	0.00232895533279322	0.0158247271368719	0.922090379299902	2.06142303617716	0.661569663491047	0.927948122648307
"DR1019-E"	974	974	136.659724578399	0.992682555134038	6.04571904146826	188.654394152994	101	0.896901497977416	0.878558012986098	0.140307725439835	0.481243861049542	0.557381567374196	0.0589994811219974	0.0785947562799499	1933	0.0589994811219974	0.00731744486596208	0.00518878002624912	0.957298379063957	2.06142159729771	0.529927051857278	0.963159661813631
"DR1019-SAH"	2108	2108	694.904542148801	0.998560953426916	7.14019573007812	499.426000905431	331	0.788675922542227	0.932932707783581	0.329651111076281	0.564213947763376	0.623230723035028	0.0111320022681828	0.0213388247231922	373	0.0111320022681828	0.00143904657308438	0.00471543259617393	0.888482310472284	2.06142303617716	0.812248186946011	0.938579998209329
"DR1020-SAH"	1930	1930	515.144249340792	0.998058796150244	6.94004811738476	442.720000910218	253	0.82477797420437	0.917355662389427	0.266914118829426	0.503671726325968	0.584089262976011	0.0162068864640318	0.0298686481584413	554	0.0162068864640318	0.00194120384975598	0.00585086153936167	0.907781250604671	2.06142303617716	0.731737998420267	0.933973027528304
"DR1021-SAH"	1726	1726	409.156416380964	0.997555946919163	6.6986260267559	364.582755665061	177	0.825530302060951	0.89871475438346	0.237054702422343	0.435649140523904	0.540206974880026	0.0174149924599893	0.0282142335943961	716	0.0174149924599893	0.0024440530808367	0.00856156053898915	0.927447415311065	2.06142303617716	0.624191273045678	0.928637447098312
"DR1025-E"	928	928	152.135504300344	0.993426912379205	5.91790784151556	168.353053071652	77	0.918875165323461	0.866073519477497	0.163939121013302	0.411239800944972	0.528357131490118	0.0333951315821154	0.055762887342595	1387	0.0333951315821154	0.00657308762079502	0.00996797727108564	0.963327656913947	2.06142303617716	0.481279946066983	0.891194953410541
"DR1025-SAH"	2180	2180	638.801134775461	0.998434567589878	7.05766043883828	480.160933964719	272	0.792737540646305	0.918119792666487	0.293028043474982	0.489464287878972	0.572766048297074	0.0098622874216521	0.019028149080044	439	0.0098622874216521	0.00156543241012166	0.00795273290948712	0.898152723135922	2.06142303617716	0.757621369038258	0.92997551277155
"DR1027-E"	674	674	32.2956483709028	0.969036076052247	4.66976512247944	108.082277852587	12	0.917674406055629	0.716966089476201	0.0479163922416955	0.366754417869172	0.347967381148216	0.112139525598446	0.169615796446525	6179	0.112139525598446	0.0309639239477528	0.00277671911580552	0.984679276332713	2.06131102729903	0.274949637937606	0.931217219288216
