Sample	Top over-represented sequence	Sum of remaining over-represented sequences
DR1014-E_1	16.473207584930204	71.27507880122077
DR1014-E_2	9.67628958823235	71.44894181217795
DR1014-SAH_1	3.302890028775178	58.524423155975775
DR1014-SAH_2	1.864131114725385	56.091937588246864
DR1015-SAH_1	4.011249780277729	62.13511454854399
DR1015-SAH_2	2.219487900626941	56.53366145192476
DR1018-E_1	12.415060223395258	60.83875295284204
DR1018-E_2	5.596546997579399	60.214646096415834
DR1018-SAH_1	3.610269041303524	62.39958317544523
DR1018-SAH_2	1.9316028798787421	56.27794619173929
DR1019-E_1	2.787828377348028	56.491301032785735
DR1019-E_2	1.4514452069037223	52.2506411589381
DR1019-SAH_1	2.811522278562952	59.48753910885749
DR1019-SAH_2	1.544934728665444	54.04142841730501
DR1020-SAH_1	3.118608282566144	59.56915700807149
DR1020-SAH_2	1.707756933295212	56.61439662187425
DR1021-SAH_1	3.133498086886826	62.5506903428337
DR1021-SAH_2	1.6650286728433346	59.76260221558544
DR1025-E_1	3.7567836659140945	58.77774817349364
DR1025-E_2	3.166411914010461	51.75078178682116
DR1025-SAH_1	3.4444031764560226	61.70212765957447
DR1025-SAH_2	1.8305300578341381	56.265364956403324
DR1027-E_1	5.901707015030474	63.46914989194577
DR1027-E_2	3.4480246703736976	57.49823956486903
DR1027-H_1	2.5174976104584834	62.29380569173376
DR1027-H_2	2.290105756482595	54.26340455708691
DR1027-SAH_1	3.5995404841935073	61.49746840828832
DR1027-SAH_2	1.9933625494617708	55.60141258562736
DR1028-SAH_1	2.623400687220743	61.352628677979624
DR1028-SAH_2	1.820079511205451	57.466196010366964
DR1029-SAH_1	2.4382636379280678	62.1719583548443
DR1029-SAH_2	2.0058939941490275	56.69097401479953
DR1030-E_1	21.909129375707604	63.05021556899921
DR1030-E_2	10.160904817995723	70.01132166096768
DR1030-SAH_1	2.759276879162702	60.14364948597159
DR1030-SAH_2	1.803160752825416	56.06159058736163
DR1034-SAH_1	2.388568009756771	60.96025956692823
