sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
DR1014-E	79948	52908	66.18	52862	40534	50.7	39888	49.89
DR1014-SAH	111902	66699	59.6	57618	29010	25.92	27991	25.01
DR1015-SAH	85335	48897	57.3	42045	21299	24.96	20322	23.81
DR1018-E	34289	20437	59.6	19858	14421	42.06	14242	41.54
DR1018-SAH	105560	60021	56.86	51258	25920	24.55	24852	23.54
DR1019-E	72135	41844	58.01	40758	31402	43.53	30601	42.42
DR1019-SAH	92690	55314	59.68	47337	22737	24.53	21977	23.71
DR1020-SAH	90938	52059	57.25	44850	22104	24.31	21378	23.51
DR1021-SAH	104803	62010	59.17	54399	28592	27.28	27632	26.37
DR1025-E	71311	41300	57.92	40419	32083	44.99	31383	44.01
DR1025-SAH	113082	66545	58.85	57636	30462	26.94	29295	25.91
DR1027-E	82366	49980	60.68	49332	41037	49.82	39687	48.18
DR1027-H	129732	81233	62.62	75061	47633	36.72	45548	35.11
DR1027-SAH	94012	58711	62.45	50694	25256	26.86	24406	25.96
DR1028-SAH	85271	51534	60.44	43380	20363	23.88	19621	23.01
DR1029-SAH	92976	52689	56.67	45441	23942	25.75	23122	24.87
DR1030-E	87443	58591	67	57850	44411	50.79	36321	41.54
DR1030-SAH	86182	51761	60.06	43430	19881	23.07	19246	22.33
DR1034-SAH	86914	50925	58.59	42074	19689	22.65	18841	21.68
DR1035-E	91016	57472	63.14	53989	35145	38.61	31863	35.01
DR1035-H	107472	65820	61.24	63038	47019	43.75	45552	42.38
DR1035-SAH	96954	63017	65	53750	26848	27.69	25564	26.37
DR1036-SAH	80958	46331	57.23	38539	17151	21.19	16486	20.36
DR1038-A-SAH	89993	54802	60.9	46009	21470	23.86	20810	23.12
DR1038-SAH	86871	51659	59.47	42875	18586	21.39	17803	20.49
DR1039-SAH	82309	47140	57.27	38937	16469	20.01	15884	19.3
DR1040-SAH	85494	54947	64.27	50521	29721	34.76	25691	30.05
DR1041-E	77442	48805	63.02	48269	36301	46.88	30072	38.83
DR1041-H	99380	66456	66.87	64522	49734	50.04	47047	47.34
DR1041-SAH	75882	46629	61.45	42158	24276	31.99	21945	28.92
DR1042-E	92174	62321	67.61	61282	47157	51.16	39291	42.63
DR1042-H	129498	86323	66.66	82070	54557	42.13	43485	33.58
DR1042-SAH	109622	70494	64.31	63950	36610	33.4	32574	29.71
DR1043-E	91630	57956	63.25	56794	44262	48.31	41123	44.88
DR1043-H	94626	61676	65.18	60893	51539	54.47	50181	53.03
DR1043-SAH	83480	50942	61.02	45237	25470	30.51	22934	27.47
DR1044-E	92096	62221	67.56	61478	47168	51.22	29228	31.74
DR1044-SAH	85269	52228	61.25	47918	27475	32.22	24475	28.7
DR1045-E	75581	52110	68.95	51684	39418	52.15	35331	46.75
DR1045-H	82462	56377	68.37	55431	42720	51.81	40019	48.53
DR1045-SAH	93471	62289	66.64	54586	27939	29.89	25900	27.71
DR1046-E	81267	45834	56.4	45107	32565	40.07	28278	34.8
DR1046-H	82990	54488	65.66	53092	41690	50.23	40436	48.72
DR1046-SAH	93040	59711	64.18	53174	29264	31.45	26819	28.83
DR1047-E	84114	50523	60.06	49433	37181	44.2	36091	42.91
DR1047-H	82597	50585	61.24	49872	38930	47.13	37766	45.72
DR1047-SAH	88928	52199	58.7	46400	24843	27.94	22281	25.06
DR1048-E	91446	52871	57.82	52277	38989	42.64	32492	35.53
DR1048-H	85157	57587	67.62	56551	44046	51.72	40689	47.78
DR1048-SAH	106159	62872	59.22	57895	35197	33.15	32249	30.38
DR1049-E	123764	78567	63.48	74706	49171	39.73	43789	35.38
DR1049-H	115410	68986	59.77	61635	34217	29.65	31788	27.54
DR1049-SAH	96050	60634	63.13	52146	26906	28.01	24975	26
E-1	140631	25775	18.33	25082	14846	10.56	14255	10.14
E-10	237330	61823	26.05	61114	28020	11.81	25502	10.75
E-2	128965	30939	23.99	30492	18806	14.58	18610	14.43
E-3	171510	40456	23.59	39920	22413	13.07	22246	12.97
E-4	237316	62713	26.43	62487	32637	13.75	32222	13.58
E-5	138292	33817	24.45	33444	19904	14.39	19336	13.98
E-6	144935	48030	33.14	47735	25216	17.4	22360	15.43
E-7	148834	35585	23.91	35147	19484	13.09	18677	12.55
E-8	144065	34362	23.85	32940	17463	12.12	16903	11.73
E-9	196019	43727	22.31	43007	24384	12.44	22481	11.47
H-1	229919	55829	24.28	52551	25606	11.14	22977	9.99
H-10	247156	74244	30.04	73554	38107	15.42	26102	10.56
H-2	251464	49820	19.81	47097	22105	8.79	18919	7.52
H-3	123686	7806	6.31	7046	3143	2.54	3026	2.45
H-4	165146	30882	18.7	29896	15537	9.41	14291	8.65
H-5	157553	35569	22.58	34643	19684	12.49	16986	10.78
H-6	183969	44419	24.14	41629	18570	10.09	16506	8.97
H-7	196519	43123	21.94	41291	21723	11.05	20436	10.4
H-8	188798	47441	25.13	44656	20915	11.08	19821	10.5
H-9	188855	35975	19.05	35254	19678	10.42	18142	9.61
SAH-1	193171	46098	23.86	42617	19522	10.11	17788	9.21
SAH-10	198421	46437	23.4	43437	22783	11.48	18673	9.41
