sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
DR1014-E	79948	73555	92	73430	72017	90.08	69755	87.25
DR1014-SAH	111902	98327	87.87	88314	55154	49.29	52001	46.47
DR1015-SAH	85335	76770	89.96	69057	41934	49.14	39091	45.81
DR1018-E	34289	30034	87.59	29346	26646	77.71	25698	74.95
DR1018-SAH	105560	93885	88.94	84059	50974	48.29	47392	44.9
DR1019-E	72135	63025	87.37	61868	56533	78.37	54971	76.21
DR1019-SAH	92690	82586	89.1	73718	44192	47.68	41553	44.83
DR1020-SAH	90938	80454	88.47	72435	44874	49.35	42283	46.5
DR1021-SAH	104803	93814	89.51	85163	54584	52.08	51139	48.8
DR1025-E	71311	62896	88.2	61882	55846	78.31	53948	75.65
DR1025-SAH	113082	101123	89.42	91443	57754	51.07	54064	47.81
DR1027-E	82366	71969	87.38	71118	66144	80.3	64078	77.8
DR1027-H	129732	115536	89.06	108805	82486	63.58	77692	59.89
DR1027-SAH	94012	84964	90.38	76423	47498	50.52	44729	47.58
DR1028-SAH	85271	75470	88.51	66763	39245	46.02	36445	42.74
DR1029-SAH	92976	81917	88.11	73718	47633	51.23	44695	48.07
DR1030-E	87443	79028	90.38	77880	73812	84.41	59911	68.51
DR1030-SAH	86182	76949	89.29	68037	39850	46.24	37450	43.45
DR1034-SAH	86914	77674	89.37	67715	38893	44.75	35767	41.15
DR1035-E	91016	81450	89.49	77818	61266	67.31	53863	59.18
DR1035-H	107472	95506	88.87	92333	80934	75.31	77260	71.89
DR1035-SAH	96954	87300	90.04	77667	45643	47.08	42181	43.51
DR1036-SAH	80958	69573	85.94	61067	33676	41.6	31188	38.52
DR1038-A-SAH	89993	80998	90	71557	41376	45.98	38704	43.01
DR1038-SAH	86871	78169	89.98	68204	37229	42.86	34252	39.43
DR1039-SAH	82309	72460	88.03	62911	34793	42.27	32169	39.08
DR1040-SAH	85494	77724	90.91	72872	50404	58.96	40138	46.95
DR1041-E	77442	69992	90.38	69308	65923	85.13	52457	67.74
DR1041-H	99380	91086	91.65	89050	79907	80.41	73614	74.07
