Sample	Unique Reads	Duplicate Reads
DR1014-E_1_val_1	2616.0	74446.0
DR1014-E_2_val_2	4622.0	72440.0
DR1014-SAH_1_val_1	9425.0	96375.0
DR1014-SAH_2_val_2	12784.0	93016.0
DR1015-SAH_1_val_1	7273.0	73428.0
DR1015-SAH_2_val_2	10157.0	70544.0
DR1018-E_1_val_1	3192.0	28669.0
DR1018-E_2_val_2	4376.0	27485.0
DR1018-SAH_1_val_1	8555.0	91238.0
DR1018-SAH_2_val_2	12045.0	87748.0
DR1019-E_1_val_1	7833.0	59473.0
DR1019-E_2_val_2	10588.0	56718.0
DR1019-SAH_1_val_1	8224.0	79628.0
DR1019-SAH_2_val_2	11652.0	76200.0
DR1020-SAH_1_val_1	7827.0	78200.0
DR1020-SAH_2_val_2	10975.0	75052.0
DR1021-SAH_1_val_1	8222.0	91148.0
DR1021-SAH_2_val_2	11343.0	88027.0
DR1025-E_1_val_1	6961.0	59625.0
DR1025-E_2_val_2	9580.0	57006.0
DR1025-SAH_1_val_1	8794.0	98547.0
DR1025-SAH_2_val_2	12338.0	95003.0
DR1027-E_1_val_1	6754.0	70372.0
DR1027-E_2_val_2	10051.0	67075.0
DR1027-H_1_val_1	10748.0	113018.0
DR1027-H_2_val_2	13024.0	110742.0
DR1027-SAH_1_val_1	7935.0	81879.0
DR1027-SAH_2_val_2	10914.0	78900.0
DR1028-SAH_1_val_1	7912.0	73208.0
DR1028-SAH_2_val_2	9901.0	71219.0
DR1029-SAH_1_val_1	7942.0	79712.0
DR1029-SAH_2_val_2	10691.0	76963.0
DR1030-E_1_val_1	3830.0	79605.0
DR1030-E_2_val_2	5614.0	77821.0
DR1030-SAH_1_val_1	7774.0	74316.0
DR1030-SAH_2_val_2	10269.0	71821.0
DR1034-SAH_1_val_1	7994.0	74611.0
DR1034-SAH_2_val_2	10035.0	72570.0
DR1035-E_1_val_1	7252.0	79348.0
DR1035-E_2_val_2	9088.0	77512.0
DR1035-H_1_val_1	7795.0	94126.0
DR1035-H_2_val_2	10426.0	91495.0
