Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DR1014-E_1_val_1	DR1014-E_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77062.0	0.0	251-301	56.0	3.3946692273753603	299.57211076795306	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1014-E_2_val_2	DR1014-E_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77062.0	0.0	250-301	55.0	5.997768030936129	296.7602709506631	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1014-SAH_1_val_1	DR1014-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	105800.0	0.0	250-301	58.0	8.908317580340265	299.0109829867675	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1014-SAH_2_val_2	DR1014-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	105800.0	0.0	250-301	57.0	12.083175803402646	295.6656710775047	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1015-SAH_1_val_1	DR1015-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80701.0	0.0	250-301	57.0	9.01227989739904	299.17282313725974	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
DR1015-SAH_2_val_2	DR1015-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80701.0	0.0	250-301	56.0	12.585965477503377	295.23577155177753	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1018-E_1_val_1	DR1018-E_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31861.0	0.0	250-301	55.0	10.018517937290104	299.381940303192	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1018-E_2_val_2	DR1018-E_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31861.0	0.0	250-301	56.0	13.731521295627882	295.8762122971658	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
DR1018-SAH_1_val_1	DR1018-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99793.0	0.0	250-301	58.0	8.57274558335755	299.05628651308206	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1018-SAH_2_val_2	DR1018-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99793.0	0.0	250-301	57.0	12.069984868678164	295.2668624051787	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1019-E_1_val_1	DR1019-E_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67306.0	0.0	250-301	56.0	11.637892609871333	299.0402638694916	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1019-E_2_val_2	DR1019-E_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67306.0	0.0	250-301	55.0	15.729652631266159	295.29123703681694	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1019-SAH_1_val_1	DR1019-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87852.0	0.0	250-301	58.0	9.361198379092109	299.1327459818786	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1019-SAH_2_val_2	DR1019-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87852.0	0.0	250-301	57.0	13.263215407731185	295.6173336975823	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1020-SAH_1_val_1	DR1020-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86027.0	0.0	250-301	58.0	9.09830634568217	299.1135573715229	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
DR1020-SAH_2_val_2	DR1020-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86027.0	0.0	250-301	57.0	12.757622606855987	295.38398409801573	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1021-SAH_1_val_1	DR1021-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99370.0	0.0	250-301	58.0	8.274127000100634	299.1056858206702	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
DR1021-SAH_2_val_2	DR1021-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99370.0	0.0	250-301	57.0	11.41491395793499	295.42062996880344	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1025-E_1_val_1	DR1025-E_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66586.0	0.0	250-301	57.0	10.454149520920314	299.1595830955456	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1025-E_2_val_2	DR1025-E_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66586.0	0.0	250-301	56.0	14.385906947406363	295.36809539542844	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
DR1025-SAH_1_val_1	DR1025-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	107341.0	0.0	250-301	58.0	8.192582517397826	299.1431978461166	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1025-SAH_2_val_2	DR1025-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	107341.0	0.0	250-301	57.0	11.4942100408977	295.51004741897316	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1027-E_1_val_1	DR1027-E_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77126.0	0.0	250-301	54.0	8.757098773435677	299.06661826102743	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1027-E_2_val_2	DR1027-E_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77126.0	0.0	250-301	53.0	13.031921790317144	295.6372170214973	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1027-H_1_val_1	DR1027-H_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123766.0	0.0	250-301	57.0	8.683321752339092	299.04565066334857	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1027-H_2_val_2	DR1027-H_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123766.0	0.0	250-301	56.0	10.523083884103873	296.1119532020102	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
DR1027-SAH_1_val_1	DR1027-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89814.0	0.0	250-301	58.0	8.8349255127263	299.16643285011247	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
DR1027-SAH_2_val_2	DR1027-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89814.0	0.0	250-301	56.0	12.1517803460485	295.7735765025497	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1028-SAH_1_val_1	DR1028-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81120.0	0.0	250-301	58.0	9.7534516765286	298.892825443787	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1028-SAH_2_val_2	DR1028-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81120.0	0.0	250-301	57.0	12.205374753451677	295.68035009861933	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1029-SAH_1_val_1	DR1029-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87654.0	0.0	250-301	58.0	9.060624729048303	299.0576128870331	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
DR1029-SAH_2_val_2	DR1029-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87654.0	0.0	250-301	57.0	12.196819312296073	295.21609966459033	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
DR1030-E_1_val_1	DR1030-E_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83435.0	0.0	250-301	56.0	4.590399712350932	299.57207406963505	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1030-E_2_val_2	DR1030-E_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83435.0	0.0	250-301	56.0	6.728591118835022	296.79952058488647	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
DR1030-SAH_1_val_1	DR1030-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82090.0	0.0	250-301	58.0	9.470093799488366	299.1127055670605	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
DR1030-SAH_2_val_2	DR1030-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82090.0	0.0	250-301	57.0	12.509440857595322	295.7439883055183	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
DR1034-SAH_1_val_1	DR1034-SAH_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82605.0	0.0	250-301	58.0	9.6773803038557	299.10627685975425	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
DR1034-SAH_2_val_2	DR1034-SAH_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82605.0	0.0	250-301	57.0	12.148175049936444	295.4959142909025	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
DR1035-E_1_val_1	DR1035-E_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86600.0	0.0	250-301	56.0	8.374133949191686	299.2735796766744	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1035-E_2_val_2	DR1035-E_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86600.0	0.0	250-301	56.0	10.494226327944572	296.2773672055427	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
DR1035-H_1_val_1	DR1035-H_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	101921.0	0.0	250-301	57.0	7.648080375977473	299.1935518686041	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
DR1035-H_2_val_2	DR1035-H_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	101921.0	0.0	250-301	56.0	10.229491468882761	295.87382384395755	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
