	reads.in	reads.out
DR1014-E_1.fastq.gz	74259	71866
DR1014-SAH_1.fastq.gz	102022	96141
DR1015-SAH_1.fastq.gz	77866	74669
DR1018-E_1.fastq.gz	30083	28821
DR1018-SAH_1.fastq.gz	96253	91397
DR1019-E_1.fastq.gz	61699	58407
DR1019-SAH_1.fastq.gz	84601	80500
DR1020-SAH_1.fastq.gz	82918	78610
DR1021-SAH_1.fastq.gz	95688	91179
DR1025-E_1.fastq.gz	60079	57243
DR1025-SAH_1.fastq.gz	103503	98658
DR1027-E_1.fastq.gz	70865	66954
DR1027-H_1.fastq.gz	117705	111529
DR1027-SAH_1.fastq.gz	86623	82826
DR1028-SAH_1.fastq.gz	78203	73733
DR1029-SAH_1.fastq.gz	84462	79778
DR1030-E_1.fastq.gz	79486	76167
DR1030-SAH_1.fastq.gz	79146	75112
DR1034-SAH_1.fastq.gz	79703	75770
DR1035-E_1.fastq.gz	82656	78882
DR1035-H_1.fastq.gz	97628	92716
DR1035-SAH_1.fastq.gz	89752	85295
DR1036-SAH_1.fastq.gz	73335	68282
DR1038-A-SAH_1.fastq.gz	83051	79118
DR1038-SAH_1.fastq.gz	79479	76159
DR1039-SAH_1.fastq.gz	74913	70828
DR1040-SAH_1.fastq.gz	79060	75921
DR1041-E_1.fastq.gz	71228	68318
DR1041-H_1.fastq.gz	92386	88863
DR1041-SAH_1.fastq.gz	69740	66309
DR1042-E_1.fastq.gz	84493	81381
DR1042-H_1.fastq.gz	119327	113969
DR1042-SAH_1.fastq.gz	101158	96192
DR1043-E_1.fastq.gz	83430	79676
DR1043-H_1.fastq.gz	86922	82752
DR1043-SAH_1.fastq.gz	76554	72963
DR1044-E_1.fastq.gz	84535	81403
DR1044-SAH_1.fastq.gz	78015	73470
DR1045-E_1.fastq.gz	70410	67877
DR1045-H_1.fastq.gz	76627	73766
DR1045-SAH_1.fastq.gz	86374	81847
DR1046-E_1.fastq.gz	73618	69652
DR1046-H_1.fastq.gz	76732	73469
DR1046-SAH_1.fastq.gz	85568	81550
DR1047-E_1.fastq.gz	77099	73343
DR1047-H_1.fastq.gz	75708	72200
DR1047-SAH_1.fastq.gz	81694	77984
DR1048-E_1.fastq.gz	84169	80535
DR1048-H_1.fastq.gz	79244	75978
DR1048-SAH_1.fastq.gz	97620	93372
DR1049-E_1.fastq.gz	112428	107516
DR1049-H_1.fastq.gz	104387	99214
DR1049-SAH_1.fastq.gz	88374	84023
E-1_1.fastq.gz	109284	100252
E-10_1.fastq.gz	194536	181943
E-2_1.fastq.gz	105228	98132
E-3_1.fastq.gz	137454	125692
E-4_1.fastq.gz	194443	183309
E-5_1.fastq.gz	112021	106286
E-6_1.fastq.gz	122869	116750
E-7_1.fastq.gz	120598	113642
E-8_1.fastq.gz	116391	108862
E-9_1.fastq.gz	157840	149213
H-1_1.fastq.gz	187083	175264
H-10_1.fastq.gz	206937	196561
H-2_1.fastq.gz	198576	185537
H-3_1.fastq.gz	80112	74051
H-4_1.fastq.gz	128375	121780
H-5_1.fastq.gz	126681	118838
H-6_1.fastq.gz	149952	140923
H-7_1.fastq.gz	155374	146149
H-8_1.fastq.gz	154418	143331
H-9_1.fastq.gz	147363	137955
SAH-1_1.fastq.gz	156686	147542
SAH-10_1.fastq.gz	160769	149157
SAH-2_1.fastq.gz	196750	184291
SAH-3_1.fastq.gz	135770	121982
SAH-4_1.fastq.gz	166082	155022
SAH-5_1.fastq.gz	172976	162447
SAH-6_1.fastq.gz	150287	139746
SAH-7_1.fastq.gz	142126	128482
SAH-8_1.fastq.gz	191365	176897
SAH-9_1.fastq.gz	145762	136762
