""	"Raw"	"Qual_filter"	"Derep"	"ASVs.R1"	"ASVs.R2"	"Merged"	"nonchim"	"percentage_used"
"DR1014-E"	74259	69485	71866	71828	71816	70747	69376	93.424366070106
"DR1014-SAH"	102022	90294	96141	84572	90679	53168	50497	49.4961870969007
"DR1015-SAH"	77866	70526	74669	65483	70682	40205	37749	48.4794390362931
"DR1018-E"	30083	27611	28821	28242	28306	25769	25239	83.8978825250141
"DR1018-SAH"	96253	85713	91397	79804	86338	48826	45693	47.4717671137523
"DR1019-E"	61699	55554	58407	57673	57841	53700	53096	86.0565001053502
"DR1019-SAH"	84601	76162	80500	70375	75891	42636	40311	47.6483729506743
"DR1020-SAH"	82918	73877	78610	69154	74458	43369	41009	49.4572951590728
"DR1021-SAH"	95688	85495	91179	81268	86927	52850	49838	52.0838558648942
"DR1025-E"	60079	54284	57243	56709	56815	52845	52166	86.8290084721783
"DR1025-SAH"	103503	93228	98658	87299	93833	55727	52698	50.9144662473552
"DR1027-E"	70865	63863	66954	66594	66615	63390	62514	88.2156212516757
"DR1027-H"	117705	105087	111529	104098	108244	79144	75242	63.9242173229684
"DR1027-SAH"	86623	78323	82826	73113	78215	45525	43221	49.8955242833889
"DR1028-SAH"	78203	68370	73733	63663	69056	37944	35561	45.4726800762119
"DR1029-SAH"	84462	75007	79778	70525	75730	45908	43389	51.3710307593948
"DR1030-E"	79486	73953	76167	75510	75706	71928	61110	76.8814634023602
"DR1030-SAH"	79146	70856	75112	64993	70543	38378	36262	45.8165921208905
"DR1034-SAH"	79703	71532	75770	64433	71147	37500	35043	43.9669774036109
"DR1035-E"	82656	74955	78882	74683	76893	59260	52707	63.7666957026713
"DR1035-H"	97628	87513	92716	89504	91062	78615	75604	77.4408981030032
"DR1035-SAH"	89752	80316	85295	74097	80239	44174	41075	45.7649968802924
"DR1036-SAH"	73335	62813	68282	58287	63697	32561	30428	41.4917842776301
"DR1038-A-SAH"	83051	74134	79118	68190	74386	40070	37599	45.2721821531348
"DR1038-SAH"	79479	72208	76159	64709	71068	35806	33231	41.8110444268297
"DR1039-SAH"	74913	66640	70828	59977	65981	33651	31311	41.7964839213488
"DR1040-SAH"	79060	72787	75921	70344	72896	48927	39478	49.9342271692386
"DR1041-E"	71228	66217	68318	67741	67883	64555	52385	73.54551580839
"DR1041-H"	92386	85658	88863	86939	87850	77906	72671	78.6601866083606
"DR1041-SAH"	69740	63331	66309	60454	63640	39862	34857	49.9813593346716
"DR1042-E"	84493	78590	81381	80255	80741	74230	59407	70.3099665061011
"DR1042-H"	119327	109237	113969	108954	111207	86328	65314	54.7353071811074
"DR1042-SAH"	101158	91757	96192	87929	92188	60043	50284	49.7083769944048
"DR1043-E"	83430	76346	79676	78408	78753	71873	65556	78.5760517799353
"DR1043-H"	86922	79141	82752	82007	82269	78368	76238	87.7085202825522
"DR1043-SAH"	76554	69867	72963	65522	69405	42918	36218	47.3103952765368
"DR1044-E"	84535	78870	81403	80651	80928	74764	45000	53.2323889513219
"DR1044-SAH"	78015	69375	73470	67925	70873	46218	38416	49.2418124719605
"DR1045-E"	70410	65835	67877	67482	67591	65417	56849	80.7399517114046
"DR1045-H"	76627	70896	73766	72690	72992	67524	61717	80.5421065681809
"DR1045-SAH"	86374	77157	81847	72664	77254	45123	39981	46.2882348854979
"DR1046-E"	73618	66833	69652	68615	68915	62963	52024	70.6674997962455
"DR1046-H"	76732	70320	73469	72364	72782	67525	65317	85.123546890476
"DR1046-SAH"	85568	77817	81550	73327	77469	47663	41527	48.53099289454
"DR1047-E"	77099	69784	73343	72044	72420	66281	63741	82.6742240495986
"DR1047-H"	75708	68903	72200	71620	71775	68458	66625	88.0025888941723
"DR1047-SAH"	81694	74064	77984	70206	74365	46975	40269	49.2924817000024
"DR1048-E"	84169	77760	80535	79944	80151	75222	59941	71.2150554242061
"DR1048-H"	79244	72665	75978	74873	75350	68801	61673	77.826712432487
"DR1048-SAH"	97620	89313	93372	86985	90644	60861	52985	54.2767875435362
"DR1049-E"	112428	102945	107516	102769	105065	83409	70497	62.7041306436119
"DR1049-H"	104387	93899	99214	89847	94520	61398	54623	52.3273970896759
"DR1049-SAH"	88374	79617	84023	73568	78983	46191	41698	47.1835607757938
