#Num samples: 83
#Num observations: 6261
#Observations/sample summary:
# Min: 135.000
# Max: 2271.000
# Median: 1394.000
# Mean: 1307.976
# Std. dev.: 534.167
# Sample Metadata Categories: None provided
# Observation Metadata Categories: Confidence; taxonomy
#Observations/sample detail:
DR1014-E: 135.000
DR1045-E: 290.000
DR1044-E: 322.000
DR1048-E: 372.000
E-4: 403.000
DR1041-E: 409.000
E-7: 415.000
H-10: 472.000
DR1030-E: 476.000
E-6: 479.000
DR1042-E: 498.000
E-10: 542.000
DR1046-E: 596.000
DR1027-E: 697.000
DR1048-H: 726.000
DR1018-E: 768.000
E-2: 782.000
DR1045-H: 863.000
E-3: 893.000
E-9: 926.000
DR1025-E: 933.000
DR1041-H: 973.000
DR1043-E: 1003.000
E-5: 1003.000
DR1019-E: 1012.000
H-9: 1023.000
H-5: 1045.000
DR1048-SAH: 1049.000
DR1034-SAH: 1057.000
DR1041-SAH: 1091.000
DR1043-H: 1093.000
DR1042-H: 1129.000
DR1046-H: 1184.000
H-4: 1199.000
DR1040-SAH: 1252.000
DR1049-E: 1274.000
DR1044-SAH: 1315.000
DR1047-H: 1317.000
H-3: 1320.000
DR1043-SAH: 1327.000
E-8: 1380.000
DR1047-E: 1394.000
DR1049-SAH: 1413.000
DR1029-SAH: 1484.000
H-2: 1489.000
SAH-4: 1528.000
DR1046-SAH: 1530.000
DR1042-SAH: 1537.000
DR1049-H: 1538.000
DR1028-SAH: 1549.000
H-7: 1556.000
DR1047-SAH: 1563.000
H-6: 1563.000
DR1045-SAH: 1581.000
E-1: 1597.000
H-8: 1600.000
DR1038-SAH: 1627.000
DR1039-SAH: 1627.000
SAH-8: 1629.000
SAH-10: 1635.000
SAH-2: 1636.000
DR1035-E: 1686.000
SAH-9: 1719.000
SAH-5: 1731.000
DR1038-A-SAH: 1737.000
SAH-3: 1766.000
DR1021-SAH: 1796.000
DR1018-SAH: 1824.000
DR1036-SAH: 1839.000
DR1035-H: 1859.000
SAH-7: 1859.000
H-1: 1882.000
SAH-6: 1897.000
SAH-1: 1932.000
DR1030-SAH: 1969.000
DR1027-H: 2008.000
DR1015-SAH: 2013.000
DR1020-SAH: 2017.000
DR1014-SAH: 2118.000
DR1035-SAH: 2125.000
DR1027-SAH: 2193.000
DR1019-SAH: 2202.000
DR1025-SAH: 2271.000
