#Num samples: 83
#Num observations: 6261
#Total count: 5084303
#Table density (fraction of non-zero values): 0.209

#Counts/sample summary:
# Min: 23890.000
# Max: 173869.000
# Median: 57446.000
# Mean: 61256.663
# Std. dev.: 28544.347
# Sample Metadata Categories: None provided
# Observation Metadata Categories: Confidence; taxonomy

#Counts/sample detail:
DR1018-E: 23890.000
DR1039-SAH: 25339.000
DR1034-SAH: 25873.000
DR1036-SAH: 26011.000
DR1038-SAH: 27059.000
DR1028-SAH: 27648.000
DR1030-SAH: 30121.000
DR1038-A-SAH: 31230.000
DR1045-SAH: 32244.000
DR1041-SAH: 32455.000
DR1043-SAH: 33033.000
DR1015-SAH: 33175.000
DR1049-SAH: 33759.000
DR1019-E: 33853.000
DR1019-SAH: 34576.000
DR1029-SAH: 34619.000
DR1020-SAH: 35217.000
DR1044-SAH: 36168.000
DR1035-SAH: 36241.000
DR1040-SAH: 36311.000
DR1046-SAH: 36513.000
DR1047-SAH: 36573.000
DR1027-SAH: 37192.000
DR1018-SAH: 38161.000
DR1014-SAH: 40974.000
DR1025-E: 41888.000
DR1021-SAH: 42441.000
H-3: 44260.000
DR1044-E: 44769.000
DR1042-SAH: 45521.000
DR1049-H: 45788.000
DR1025-SAH: 45971.000
DR1048-SAH: 47993.000
DR1035-E: 49524.000
DR1046-H: 50387.000
DR1046-E: 51459.000
DR1041-E: 51919.000
DR1027-E: 55793.000
DR1047-H: 56258.000
DR1045-E: 56437.000
DR1047-E: 56743.000
SAH-9: 57446.000
DR1035-H: 58262.000
DR1042-E: 58760.000
DR1045-H: 59393.000
DR1048-E: 59509.000
DR1048-H: 59669.000
DR1030-E: 59738.000
DR1042-H: 61981.000
DR1027-H: 63660.000
SAH-7: 63770.000
DR1043-E: 63995.000
SAH-8: 65876.000
DR1049-E: 65984.000
DR1043-H: 66941.000
DR1041-H: 67693.000
DR1014-E: 68295.000
SAH-3: 69177.000
SAH-6: 72717.000
H-6: 76494.000
E-8: 76767.000
SAH-10: 77025.000
E-1: 78107.000
E-2: 79089.000
H-5: 81837.000
SAH-5: 82731.000
SAH-1: 84100.000
SAH-4: 86587.000
H-4: 88361.000
H-8: 89188.000
SAH-2: 89524.000
H-7: 93231.000
E-5: 93701.000
E-6: 95704.000
E-7: 96474.000
E-3: 101633.000
H-9: 101993.000
H-1: 102760.000
H-2: 103699.000
E-9: 114959.000
H-10: 118895.000
E-10: 149323.000
E-4: 173869.000
