#OTU Table	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9
ASV_1	273	4839	21160	0	82534	6572	32002	1010	0	1446	32	9374	2649	855	19181	13327	4040	16465	5	13766	5	459	349	41	1647	318	124	454	0	112
ASV_2	8188	2601	1762	466	5716	9318	1345	354	425	2956	10073	1406	8300	298	3720	8752	8394	939	179	5072	6504	5496	7451	175	3491	8600	6449	449	130	4802
ASV_3	739	419	5090	10235	25329	6092	71	1345	1576	4985	24	125	462	1583	1359	2788	86	4695	18	12827	4	29	71	382	50	70	2	232	0	24
ASV_4	0	69262	315	0	3231	13	19	1312	0	0	0	188	6	0	48	0	0	21	0	0	2	37	3	0	5	0	0	5	0	0
ASV_5	4806	1570	995	198	2633	5488	594	219	174	1715	5273	729	3897	151	1654	4496	4374	486	63	2328	3425	2943	3390	108	1703	4667	3504	177	38	2321
ASV_6	11	33696	3928	381	496	89	93	14355	1057	525	0	5	16	0	2	0	10	16	0	86	9	83	5	0	46	0	11	22	2	11
ASV_7	0	15	0	0	0	0	0	10	0	50509	0	0	0	0	0	0	0	21	0	97	0	0	0	0	0	0	0	0	0	19
ASV_8	0	4616	0	0	0	0	0	70	0	0	0	41715	0	0	0	0	4	314	0	0	0	148	0	0	0	0	2	3	0	0
ASV_9	430	0	0	0	0	0	41868	0	0	0	0	0	230	11	0	3	158	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_10	0	0	757	0	0	40	210	40308	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	76	0	0
ASV_11	1263	759	146	419	3516	3710	249	172	529	453	1373	1244	1280	233	1994	2833	798	493	312	1089	879	6654	1064	128	1922	3410	797	341	249	625
ASV_12	1068	51	296	696	298	678	106	38	1120	208	1193	74	1174	1230	1042	788	1095	753	1069	375	1466	990	1195	1938	1573	1330	1190	1649	1021	979
ASV_13	711	231	89	195	1927	1845	135	70	392	320	1037	619	716	148	1682	2159	378	257	255	1521	589	3113	451	67	1471	2106	429	200	162	530
ASV_14	0	6	12	17	0	14	0	93	3065	43	0	0	0	0	0	0	0	887	15152	4001	0	0	0	0	0	0	0	27	43	2
ASV_15	276	657	742	2468	230	1679	3	113	4676	53	147	125	77	277	945	312	464	2262	4738	657	29	83	31	54	705	52	53	243	51	64
ASV_16	5073	88	101	530	178	323	84	81	312	351	3740	99	1604	966	446	273	530	381	441	478	1799	131	1274	523	437	407	546	310	198	329
ASV_17	127	74	3789	0	6576	21	623	1569	2294	4937	11	0	19	0	8	0	73	809	26	160	5	0	31	0	6	0	30	21	0	0
ASV_18	35	0	2339	0	3141	0	3903	33	0	9976	0	0	8	0	18	3	413	0	2	1147	0	0	6	0	2	0	5	0	0	31
ASV_19	85	235	0	36	0	17	43	97	7	3406	20	405	26	13	24	22	160	5127	21	10278	26	47	21	0	15	8	0	99	0	16
ASV_20	0	252	11	0	0	0	0	11	0	0	0	18564	0	0	0	0	0	270	0	0	0	83	0	0	0	0	0	3	0	0
ASV_21	132	89	30	12247	275	482	13	438	2045	113	8	0	0	114	0	4	33	1520	183	141	2	12	0	71	4	3	4	94	5	16
ASV_22	883	38	20	687	415	498	150	37	702	49	783	41	399	818	823	91	622	768	671	66	1043	589	438	1759	1415	464	719	1324	1193	130
ASV_23	383	293	37	237	324	1696	214	76	1260	217	196	312	680	439	1376	2211	1527	949	1149	1026	83	456	337	110	649	367	102	581	38	147
ASV_24	523	37	139	1630	403	597	23	11	342	140	658	77	788	1181	466	378	323	378	417	232	762	897	905	1413	950	637	396	902	402	405
ASV_25	28	74	32	221	21	36	209	382	92	57	14	64	100	125	26	6	272	785	12824	4	13	119	22	36	48	4	73	202	64	60
