Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1041-E	DR1041-H	DR1041-SAH	DR1042-E	DR1042-H	DR1042-SAH	DR1043-E	DR1043-H	DR1043-SAH	DR1044-E	DR1044-SAH	DR1045-E	DR1045-H	DR1045-SAH	DR1046-E	DR1046-H	DR1046-SAH	DR1047-E	DR1047-H	DR1047-SAH	DR1048-E	DR1048-H	DR1048-SAH	DR1049-E	DR1049-H	DR1049-SAH	Shared
ASV_6141	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_6141	0	0	0	0	0	0.0153775180685837	0	0	0	0	0	0.0106313234225774	0	0.0372162262746558	0	0	0.0219118049849356	0.0088116595879668	0.0106651498453553	0.0246083176113526	0	0	0	0	0	0	Non-core
ASV_5678	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5678	0	0	0	0	0.00322695149891897	0.0153775180685837	0	0	0	0	0	0	0	0.00620270437910929	0	0.00595391668485919	0.0191728293618187	0.0299596425990871	0	0.0273425751237252	0	0	0	0	0.0174718266794793	0.0177730383008975	Soil associated
ASV_1797	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1797	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0279121697059918	0	0	0	0	0	0	0	0	0	0.00454655674102813	0.0218397833493492	0	Non-core
ASV_1823	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_1823	0.0173346944278588	0.230486237312176	0.200363737246077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0229400846697671	0	0	0	Non-core
ASV_3775	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_3775	0	0	0	0	0.0322695149891897	0.00878715318204785	0.00937573247909993	0.0194421595752636	0.039372463504755	0	0.0248838752488388	0	0	0.0186081131373279	0	0.0238156667394368	0.0164338537387017	0.019385651093527	0.00355504994845178	0	0	0.00502773634550604	0	0	0	0	Rhizhomorph_Soil associated
ASV_3038	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_3038	0	0	0	0	0	0.0153775180685837	0	0	0	0	0	0	0	0.00930405656866394	0.00777317864707826	0	0.0246507806080526	0.019385651093527	0.113761598350457	0.0355453476608427	0	0	0	0.00909311348205626	0.0218397833493492	0.0355460766017951	Soil associated
ASV_3856	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_3856	0	0	0	0	0.0112943302462164	0.0109839414775598	0	0.00448665220967621	0	0	0.0138243751382438	0	0	0	0	0.063508444638498	0.0273897562311695	0	0.0426605993814213	0.0300768326360977	0	0	0	0	0	0	Rhizhomorph
ASV_4208	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4208	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00930405656866394	0	0	0	0	0.0142201997938071	0.00546851502474503	0	0	0	0	0.0109198916746746	0.0266595574513463	Non-core
ASV_779	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109370300494901	0	0	0	0	0	0	Non-core
ASV_4440	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4440	0	0	0	0.00340367597004765	0.00645390299783794	0.0263614595461435	0	0	0	0	0	0	0	0.00930405656866394	0.00388658932353913	0	0.0410846343467543	0.0176233191759336	0.047993174304099	0.0300768326360977	0	0	0	0	0.00436795666986984	0	Non-core
ASV_5668	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	Planctomycetales_bacterium	ASV_5668	0	0.0280720417239189	0.0154125951727752	0	0.00645390299783794	0.0153775180685837	0.00781311039924994	0.00747775368279369	0.0121146041553092	0	0.00829462508294625	0	0	0	0	0	0.0136948781155848	0	0	0	0	0	0	0	0	0	Soil associated
ASV_2588	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109370300494901	0	0	0	0	0.00655193500480475	0	Non-core
ASV_519	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303103782735209	0	0	Non-core
ASV_4874	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4874	0	0	0	0	0	0.00659036488653588	0	0	0	0	0	0	0	0.0186081131373279	0	0	0	0.0299596425990871	0.0391055494329695	0.0246083176113526	0	0	0	0.00454655674102813	0.0196558050144143	0.0177730383008975	Non-core
ASV_5488	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5488	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217094653268825	0	0	0	0	0.0657684240463579	0	0	0	0	0	0	0	Non-core
ASV_2220	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2220	0	0.0487567040468064	0.0400727474492155	0	0.00645390299783794	0.0329518244326794	0.0125009766387999	0.034397666940851	0.0757162759706827	0	0.0193541251935413	0	0.00673480039735322	0.0372162262746558	0	0.0377081390041082	0.0273897562311695	0	0	0.00820277253711755	0	0	0.0187691601843549	0	0.0109198916746746	0.00888651915044877	Rhizhomorph_Soil associated
ASV_5740	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5740	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217094653268825	0	0	0	0	0	0.0246083176113526	0	0	0	0.0106086323957323	0.0545994583733729	0.0385082496519447	Non-core
ASV_2821	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2821	0	0	0	0	0.00645390299783794	0.0505261307967751	0	0	0	0	0.0138243751382438	0	0	0.00930405656866394	0.00971647330884782	0	0.0328677074774034	0	0.0959863486081979	0.0464823777103328	0	0	0	0	0.0283917183541539	0.0236973844011967	Soil associated
ASV_4354	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4354	0	0	0	0	0.00645390299783794	0.0395421893192153	0.00781311039924994	0	0.00908595311648192	0	0	0	0	0	0	0.0476313334788735	0.0219118049849356	0.0264349787639004	0	0.0164055450742351	0	0	0	0	0	0	Non-core
ASV_5289	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5289	0	0	0	0	0.0225886604924328	0.00659036488653588	0	0	0	0	0	0	0.0134696007947064	0	0	0.00396927778990613	0.0191728293618187	0.0088116595879668	0	0.0136712875618626	0	0	0	0.00757759456838021	0.0152878483445444	0.0325839035516455	Rhizhomorph
ASV_4159	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190		ASV_4159	0	0	0	0	0.00484042724837846	0	0	0	0	0	0	0	0	0	0.00388658932353913	0	0	0.0775426043741078	0.0337729745102919	0.00546851502474503	0	0	0	0.0151551891367604	0.0305756966890888	0	Non-core
ASV_2004	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_2004	0	0	0.00616503806911008	0.0068073519400953	0.167801477943786	0.0439357659102392	0	0	0.00605730207765461	0	0.033178500331785	0	0	0	0.0136030626323869	0	0.00821692686935086	0.0264349787639004	0.0462156493298731	0.0328110901484702	0	0	0	0.00909311348205626	0.00873591333973967	0	Soil associated
ASV_2861	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_2861	0	0	0	0.0068073519400953	0.0806737874729743	0.0263614595461435	0	0	0	0	0	0	0	0	0	0.00396927778990613	0	0.019385651093527	0.0302179245618401	0.0273425751237252	0	0	0	0.0212172647914646	0.0502315017035031	0.0177730383008975	Rhizhomorph
ASV_2420	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_soil	ASV_2420	0	0	0	0	0	0	0	0	0	0	0	0	0.00673480039735322	0.00930405656866394	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5942	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212172647914646	0.0895431117323316	0.00592434610029918	Non-core
ASV_2578	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_2578	0	0	0	0	0.00806737874729743	0	0	0	0	0	0	0	0	0.0558243394119836	0	0	0.0191728293618187	0	0	0	0	0	0	0.0803225024248303	0.150694505110509	0.0385082496519447	Non-core
ASV_5801	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5801	0	0	0	0	0.0484042724837846	0	0	0	0	0	0	0	0	0.00620270437910929	0	0.0258003056343898	0.00547795124623391	0	0.00355504994845178	0	0	0	0	0.00606207565470417	0.0131038700096095	0	Rhizhomorph
ASV_4957	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_4957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00454655674102813	0	0	Non-core
ASV_498	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_498	0	0	0	0	0	0	0	0	0	0	0	0	0.00673480039735322	0.0775338047388661	0	0	0	0	0	0	0	0	0	0.034856935014549	0.100463003407006	0.0533191149026926	Non-core
ASV_5510	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_5510	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00930405656866394	0	0	0	0.00352466383518672	0	0.0109370300494901	0	0	0	0.0439500484966052	0.0502315017035031	0.0118486922005984	Non-core
ASV_1924	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_Pasteuria	ASV_1924	0	0	0	0	0.129078059956759	0.054919707387799	0.0140635987186499	0	0.0363438124659277	0	0.0525326255253263	0	0.00336740019867661	0.00930405656866394	0.00388658932353913	0.0258003056343898	0.0328677074774034	0.0264349787639004	0.00711009989690355	0.0300768326360977	0	0	0.00417092448541219	0.0181862269641125	0.0152878483445444	0	Rhizhomorph_Soil associated
ASV_5511	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_Pasteuria	ASV_5511	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00930405656866394	0	0	0	0	0	0.0136712875618626	0	0	0	0.0409190106692532	0.0545994583733729	0.0148108652507479	Non-core
ASV_4152	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_4152	0	0	0	0	0.0274290877408113	0.0241646712506316	0	0	0	0	0.011059500110595	0	0	0	0	0.0357235001091551	0	0.00704932767037344	0.00888762487112944	0	0	0	0	0.00606207565470417	0.0393116100288285	0.0355460766017951	Rhizhomorph
ASV_765	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_Pasteuria	ASV_765	0	0	0	0.0170183798502383	0.285585207654329	0.0944618967070143	0	0	0	0	0	0	0.0202044011920597	0.0248108175164372	0.0116597679706174	0.00992319447476532	0	0.0563946213629875	0.0142201997938071	0.0300768326360977	0	0	0	0.1454898157129	0.144142570105705	0.0888651915044877	Rhizhomorph
