Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1014-E	DR1014-SAH	DR1018-E	DR1018-SAH	DR1019-E	DR1019-SAH	DR1025-E	DR1025-SAH	DR1027-E	DR1027-H	DR1027-SAH	DR1030-E	DR1030-SAH	DR1035-E	DR1035-H	DR1035-SAH	Shared
ASV_1034	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_1034	0	0.0780983062429833	0	0	0	0.0636279500231374	0.0692322383498854	0.0217528441843771	0	0	0.00537750053775005	0.00502192909036124	0.0132797715879287	0.0323075680478152	0.00686553842985136	0.0110372230346845	Rhizhomorph_Soil associated
ASV_1428	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1428	0	0.0463708693317714	0	0.01310238201305	0	0.0462748727441	0	0.0609079637162559	0.0215080744896313	0.0235626767200754	0.0349537534953753	0.0167397636345375	0.0331994289698217	0.0040384460059769	0	0.0496675036560801	Rhizhomorph_Soil associated
ASV_4955	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4955	0	0.00488114414018646	0	0	0	0.0173530772790375	0	0	0	0	0.00806625080662508	0	0	0	0.0137310768597027	0.00827791727601336	Rhizhomorph_Soil associated
ASV_2133	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2133	0	0.0414897251915849	0	0	0	0.0260296159185562	0	0.0239281286028148	0	0.00314169022934339	0.00806625080662508	0	0.0464792005577504	0	0.0154474614671656	0.0441488921387379	Rhizhomorph_Soil associated
ASV_4953	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_4953	0	0.00732171621027969	0	0	0	0.0202452568255437	0	0.0261034130212525	0	0.00471253534401508	0.0188212518821252	0	0	0.00605766900896535	0.010298307644777	0.0220744460693689	Rhizhomorph_Soil associated
ASV_1797	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1797	0	0.0683360179626104	0.0167434072833822	0.0288252404287099	0	0.0607357704766312	0	0.0130517065106263	0	0.0109959158027019	0.0241987524198752	0	0.0331994289698217	0.0080768920119538	0.0411932305791082	0.0248337518280401	Rhizhomorph_Soil associated
ASV_5368	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5368	0	0.0122028603504661	0	0	0	0	0	0	0	0	0.00806625080662508	0	0	0	0	0	Non-core
ASV_4723	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4723	0	0	0	0	0	0	0	0	0	0	0	0	0.00663988579396434	0	0.010298307644777	0.00827791727601336	Rhizhomorph
ASV_1945	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1945	0	0	0	0	0	0.0925497454881999	0	0	0	0.0534087338988376	0.0457087545708755	0	0	0.0222114530328729	0.0154474614671656	0	Rhizhomorph
ASV_2459	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2459	0	0	0	0	0	0	0	0.0174022753475017	0	0.00628338045868677	0.0161325016132502	0	0.0298794860728395	0.0242306760358614	0.0120146922522399	0.0358709748627245	Rhizhomorph_Soil associated
