Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9	Shared
ASV_1034	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_1034	0.0140832447795972	0	0	0	0	0	0	0	0.0364740057576823	0	0.0194628260023355	0	0.0462878137686959	0	0	0	0.0143802128271498	0.00643562763458506	0	0	0.0558858501783591	0	0.10388275769626	0.0144556716827847	0.00808435446429603	0	0	0.0423396581464639	0.0303600704353634	0	Soil associated
ASV_1428	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1428	0	0.0596023385546768	0	0	0	0	0	0.0414619482969505	0	0	0	0	0	0	0	0	0	0.11047827439371	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_2133	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2133	0.00896206485974368	0	0	0	0	0	0.0146284376828555	0	0	0	0	0	0.00385731781405799	0	0	0.006109705878759	0.0470625147070358	0.00965344145187759	0	0	0.00475624256837099	0.00908795845504706	0.00446807559983915	0	0.00230981556122744	0.00362621024767016	0.0577581583398655	0.00940881292143641	0.00303600704353634	0	Soil associated
ASV_1797	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1797	0.0179241297194874	0	0	0	0	0	0	0	0.0117237875649693	0	0.0136239782016349	0	0.00385731781405799	0.00677812923633077	0	0	0.00915104452636808	0.0107260460576418	0.0257882226308472	0.00196091888659026	0.00951248513674197	0.00389483933787731	0.00335105669987936	0.0231290746924556	0	0.00725242049534032	0.0178775252004346	0.00784067743453034	0.0258060598700589	0.0417783657695923	Rhizhomorph_Soil associated
ASV_1823	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_1823	0.00512117991985353	0	0.00632199168025895	0	0	0.0448234277115506	0.0020897768118365	0	0	0	0.00486570650058388	0	0.00675030617460149	0	0.0045268840325483	0.0158852352847734	0.0196093811279316	0	0.0044849082836256	0.0068632161030659	0.00475624256837099	0.00519311911716975	0.0089361511996783	0	0.00230981556122744	0.0459319964704887	0.0110015539694982	0	0	0.0104445914423981	Rhizhomorph_Soil associated
ASV_1945	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1945	0.0294467845391578	0	0	0.0196786476833312	0	0.00853779575458106	0.00313466521775474	0	0.00390792918832311	0	0.0107045543012845	0	0.00482164726757249	0.0135562584726615	0	0	0	0.00214520921152835	0	0	0.0392390011890606	0	0.00781913229971851	0.0187923731876202	0.00577453890306859	0.0108786307430105	0	0.0125450838952485	0.00910802113060902	0	Soil associated_Stipe
ASV_2459	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2459	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00903750564844103	0	0.0158852352847734	0	0	0	0	0.00832342449464923	0.0272638753651412	0	0	0.00692944668368231	0.0543931537150524	0.00412558273856182	0.023522032303591	0.0136620316959135	0	Soil associated
ASV_779	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_779	0.0550526841384255	0	0.0113795850244661	0	0.0189798066360306	0.0064033468159358	0	0	0.0364740057576823	0.00782887812176515	0.0398987933047879	0	0.0202509185238045	0.0384093990058744	0.00679032604882244	0	0.0130729207519544	0.0343233473844537	0.0470915369780688	0.0176482699793123	0.0261593341260404	0.00649139889646219	0.0323935480988338	0.0332480448704049	0.00461963112245487	0.00725242049534032	0.00275038849237455	0.0188176258428728	0.0318780739571316	0.0104445914423981	Core
ASV_2588	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2588	0	0	0	0	0	0	0	0	0.00260528612554874	0	0	0	0	0.00903750564844103	0	0	0.00392187622558632	0	0.0134547248508768	0	0.00237812128418549	0	0	0.0332480448704049	0.00577453890306859	0.00725242049534032	0.0275038849237455	0.0141132193821546	0.0425040986095088	0	Soil associated
ASV_2479	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2479	0	0	0	0	0.00690174786764748	0	0.0020897768118365	0	0.0286581473810361	0	0.00778513040093421	0	0	0	0.00565860504068537	0.0073316470545108	0.00392187622558632	0	0.0123334977799704	0	0	0.0181759169100941	0	0	0.0138588933673646	0	0.00412558273856182	0	0.0333960774788997	0	Rhizhomorph
ASV_2809	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2809	0	0	0	0	0	0	0	0	0.00521057225109748	0	0	0	0	0	0	0.00855358823026259	0	0	0.0156971789926896	0	0.0107015457788347	0.0103862382343395	0	0.0057822686731139	0.00577453890306859	0.00966989399378709	0.0055007769847491	0.0282264387643092	0.0318780739571316	0	Soil associated
ASV_519	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_519	0	0	0	0	0.0166792240134814	0.00747057128525843	0	0	0.00781585837664621	0	0.00583884780070066	0	0	0	0.00905376806509659	0.0293265882180432	0	0	0.0235457684890344	0	0.0107015457788347	0.0727036676403765	0	0	0.0947024380103249	0.242956086593901	0.0178775252004346	0.177199310020386	0.109296253567308	0.00348153048079936	Soil associated
ASV_2220	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2220	0	0	0	0	0	0	0	0	0.024750218192713	0	0	0	0	0	0	0	0.00784375245117264	0	0.0661523971834776	0	0	0	0	0	0	0	0	0	0.0850081972190175	0	Non-core
ASV_2821	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2821	0.00640147489981692	0	0	0	0	0	0	0	0.0338687196321336	0	0.00291942390035033	0	0	0	0	0	0	0	0.0044849082836256	0	0.0178359096313912	0.00649139889646219	0.00558509449979894	0.0216835075241771	0	0.00241747349844677	0	0.0156813548690607	0.0166980387394499	0	Soil associated
ASV_1035	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_1035	0.0128029497996338	0	0	0.0206625800674978	0	0	0	0	0.0273555043182617	0	0.0194628260023355	0	0	0.00451875282422051	0	0	0.0156875049023453	0.00321781381729253	0.0403641745526304	0	0.0404280618311534	0.0142810775722168	0.00223403779991957	0.00433670150483542	0	0.00604368374611693	0.0233783021851837	0.0297945742512153	0.138138320480904	0.0348153048079936	Rhizhomorph_Soil associated
ASV_2004	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_2004	0	0	0	0	0	0	0	0	0.0677374392642672	0	0	0	0	0	0	0	0	0	0.039242947481724	0	0	0.0155793573515093	0	0	0	0	0	0.00313627097381214	0.0880442042625539	0	Non-core
ASV_2861	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_2861	0	0	0	0	0	0	0	0	0.0508030794482004	0	0	0	0	0	0	0	0.0104583366015635	0.00965344145187759	0.0156971789926896	0	0	0	0	0	0	0	0.00962635972331092	0.00627254194762427	0.0212520493047544	0.0087038262019984	Non-core
ASV_2420	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_soil	ASV_2420	0	0	0.00632199168025895	0	0	0	0	0	0	0	0	0	0.0414661665011234	0	0	0	0	0	0	0	0	0	0.0793083418971449	0	0.00577453890306859	0	0	0	0	0	Non-core
ASV_1371	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_1371	0	0	0.313570787340844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_1218	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_1218	0.00256058995992677	0	0	0.0531323487449942	0	0	0	0	0.010421144502195	0	0	0	0	0.0451875282422052	0	0	0	0.00750823224034924	0.0538188994035072	0	0.00475624256837099	0.00649139889646219	0	0.0650505225725313	0.0161687089285921	0.0290096819813613	0.00687597123093637	0.0109769484083425	0.0425040986095088	0.00696306096159872	Soil associated
ASV_1560	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_1560	0	0	0.00632199168025895	0	0	0.0128066936318716	0	0	0.00390792918832311	0.00260962604058838	0.00583884780070066	0	0.00867896508163049	0.0248531405332128	0.0215026991546044	0.018329117636277	0	0.00750823224034924	0.005606135354532	0.0352965399586246	0.00475624256837099	0.00778967867575463	0.00670211339975872	0.0057822686731139	0.00577453890306859	0.0314271554798081	0.0137519424618727	0.0156813548690607	0	0.0156668871635971	Rhizhomorph_Soil associated
ASV_2578	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_2578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14930217461863	0	0	0	0	0	0	0	0	Non-core
ASV_1575	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_1575	0	0	0	0	0	0	0	0	0.0508030794482004	0	0	0	0	0	0	0	0.0261458415039088	0.0160890690864627	0.0549401264744136	0	0	0	0	0.00433670150483542	0	0.00362621024767016	0.0481317986165546	0.0125450838952485	0.0516121197401178	0.00522229572119904	Soil associated
ASV_800	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_800	0.0384088493989015	0	0.0379319500815537	0.0364054982141627	0	0.0032016734079679	0	0.00310964612227129	0	0.0130481302029419	0.0291942390035033	0	0.0655744028389859	0.0338906461816539	0.00679032604882244	0.0024438823515036	0.0104583366015635	0.00214520921152835	0	0.0156873510927221	0.0190249702734839	0	0.123989097895536	0.0231290746924556	0	0	0.0055007769847491	0.00470440646071821	0	0.0295930090867946	Core
ASV_1661	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_1661	0	0	0	0	0	0	0	0	0.035171362694908	0	0	0	0	0	0	0	0	0	0.130062340225142	0	0	0	0	0.0159012388510632	0	0	0	0	0.0667921549577995	0	Non-core
ASV_2850	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_2850	0.0179241297194874	0	0	0	0	0	0	0	0	0	0.0126508369015181	0	0	0.0406687754179846	0	0	0.0104583366015635	0	0	0	0.0273483947681332	0	0	0.0130101045145063	0.0127039855867509	0	0.00412558273856182	0	0	0	Non-core
