Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1014-E	DR1014-SAH	DR1018-E	DR1018-SAH	DR1019-E	DR1019-SAH	DR1025-E	DR1025-SAH	DR1027-E	DR1027-H	DR1027-SAH	DR1030-E	DR1030-SAH	DR1035-E	DR1035-H	DR1035-SAH	DR1041-E	DR1041-H	DR1041-SAH	DR1042-E	DR1042-H	DR1042-SAH	DR1043-E	DR1043-H	DR1043-SAH	DR1044-E	DR1044-SAH	DR1045-E	DR1045-H	DR1045-SAH	DR1046-E	DR1046-H	DR1046-SAH	DR1047-E	DR1047-H	DR1047-SAH	DR1048-E	DR1048-H	DR1048-SAH	DR1049-E	DR1049-H	DR1049-SAH	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9	Shared
ASV_1034	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_1034	0	0.0780983062429833	0	0	0	0.0636279500231374	0.0692322383498854	0.0217528441843771	0	0	0.00537750053775005	0.00502192909036124	0.0132797715879287	0.0323075680478152	0.00686553842985136	0.0110372230346845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140832447795972	0	0	0	0	0	0	0	0.0364740057576823	0	0.0194628260023355	0	0.0462878137686959	0	0	0	0.0143802128271498	0.00643562763458506	0	0	0.0558858501783591	0	0.10388275769626	0.0144556716827847	0.00808435446429603	0	0	0.0423396581464639	0.0303600704353634	0	Non-core
ASV_1428	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1428	0	0.0463708693317714	0	0.01310238201305	0	0.0462748727441	0	0.0609079637162559	0.0215080744896313	0.0235626767200754	0.0349537534953753	0.0167397636345375	0.0331994289698217	0.0040384460059769	0	0.0496675036560801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0596023385546768	0	0	0	0	0	0.0414619482969505	0	0	0	0	0	0	0	0	0	0.11047827439371	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_4955	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4955	0	0.00488114414018646	0	0	0	0.0173530772790375	0	0	0	0	0.00806625080662508	0	0	0	0.0137310768597027	0.00827791727601336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_2133	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2133	0	0.0414897251915849	0	0	0	0.0260296159185562	0	0.0239281286028148	0	0.00314169022934339	0.00806625080662508	0	0.0464792005577504	0	0.0154474614671656	0.0441488921387379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00896206485974368	0	0	0	0	0	0.0146284376828555	0	0	0	0	0	0.00385731781405799	0	0	0.006109705878759	0.0470625147070358	0.00965344145187759	0	0	0.00475624256837099	0.00908795845504706	0.00446807559983915	0	0.00230981556122744	0.00362621024767016	0.0577581583398655	0.00940881292143641	0.00303600704353634	0	Soil associated
ASV_4953	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_4953	0	0.00732171621027969	0	0	0	0.0202452568255437	0	0.0261034130212525	0	0.00471253534401508	0.0188212518821252	0	0	0.00605766900896535	0.010298307644777	0.0220744460693689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_6141	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_6141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153775180685837	0	0	0	0	0	0.0106313234225774	0	0.0372162262746558	0	0	0.0219118049849356	0.0088116595879668	0.0106651498453553	0.0246083176113526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5678	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322695149891897	0.0153775180685837	0	0	0	0	0	0	0	0.00620270437910929	0	0.00595391668485919	0.0191728293618187	0.0299596425990871	0	0.0273425751237252	0	0	0	0	0.0174718266794793	0.0177730383008975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_1797	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1797	0	0.0683360179626104	0.0167434072833822	0.0288252404287099	0	0.0607357704766312	0	0.0130517065106263	0	0.0109959158027019	0.0241987524198752	0	0.0331994289698217	0.0080768920119538	0.0411932305791082	0.0248337518280401	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0279121697059918	0	0	0	0	0	0	0	0	0	0.00454655674102813	0.0218397833493492	0	0.0179241297194874	0	0	0	0	0	0	0	0.0117237875649693	0	0.0136239782016349	0	0.00385731781405799	0.00677812923633077	0	0	0.00915104452636808	0.0107260460576418	0.0257882226308472	0.00196091888659026	0.00951248513674197	0.00389483933787731	0.00335105669987936	0.0231290746924556	0	0.00725242049534032	0.0178775252004346	0.00784067743453034	0.0258060598700589	0.0417783657695923	Rhizhomorph_Soil associated
ASV_1823	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_1823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173346944278588	0.230486237312176	0.200363737246077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0229400846697671	0	0	0	0.00512117991985353	0	0.00632199168025895	0	0	0.0448234277115506	0.0020897768118365	0	0	0	0.00486570650058388	0	0.00675030617460149	0	0.0045268840325483	0.0158852352847734	0.0196093811279316	0	0.0044849082836256	0.0068632161030659	0.00475624256837099	0.00519311911716975	0.0089361511996783	0	0.00230981556122744	0.0459319964704887	0.0110015539694982	0	0	0.0104445914423981	Non-core
ASV_3775	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_3775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322695149891897	0.00878715318204785	0.00937573247909993	0.0194421595752636	0.039372463504755	0	0.0248838752488388	0	0	0.0186081131373279	0	0.0238156667394368	0.0164338537387017	0.019385651093527	0.00355504994845178	0	0	0.00502773634550604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
