Source	Location	qs	means	sd
1	Soil associated	El Castillo/Zentla	q=0	1378.44444444444	200.693242979872
2	Soil associated	El Castillo/Zentla	q=1	531.150540044617	88.4117654725188
3	Soil associated	El Castillo/Zentla	q=2	182.887887776206	47.6315253811619
4	Soil associated	Monte obscuro Emiliano Zapata	q=0	2100.28571428571	154.153294143324
5	Soil associated	Monte obscuro Emiliano Zapata	q=1	1139.4026284406	142.173786423594
6	Soil associated	Monte obscuro Emiliano Zapata	q=2	591.227964531153	113.832872438184
7	Soil associated	Naolinco	q=0	1733.2	131.451554236194
8	Soil associated	Naolinco	q=1	523.872159460522	165.062693317821
9	Soil associated	Naolinco	q=2	146.346992911328	101.082385047223
10	Rhizhomorph	El Castillo/Zentla	q=0	1102.875	256.065525933165
11	Rhizhomorph	El Castillo/Zentla	q=1	316.012055644097	212.438372243078
12	Rhizhomorph	El Castillo/Zentla	q=2	106.061534726121	92.858402536194
13	Rhizhomorph	Monte obscuro Emiliano Zapata	q=0	1933.5	105.358910396796
14	Rhizhomorph	Monte obscuro Emiliano Zapata	q=1	669.508775527841	28.389879754294
15	Rhizhomorph	Monte obscuro Emiliano Zapata	q=2	206.395367351681	39.127429889279
16	Rhizhomorph	Naolinco	q=0	1314.9	399.286711246164
17	Rhizhomorph	Naolinco	q=1	196.199135036267	138.608182699048
18	Rhizhomorph	Naolinco	q=2	41.039272415471	42.3672729316631
19	Stipe	El Castillo/Zentla	q=0	684.222222222222	426.548583920337
20	Stipe	El Castillo/Zentla	q=1	98.133019448103	143.8690713069
21	Stipe	El Castillo/Zentla	q=2	24.0599469820112	31.4722173256069
22	Stipe	Monte obscuro Emiliano Zapata	q=0	815.285714285714	483.87798540738
23	Stipe	Monte obscuro Emiliano Zapata	q=1	174.341582502689	175.125524666743
24	Stipe	Monte obscuro Emiliano Zapata	q=2	52.501043344538	66.9686650572484
25	Stipe	Naolinco	q=0	842	407.630824262456
26	Stipe	Naolinco	q=1	85.8995888351198	97.2909176653997
27	Stipe	Naolinco	q=2	19.6048274904458	19.5807521364853
