sample	q0_c	q1_c	q2_c	Source	Date	Year	Location	Week	Raw.reads	Colect_number	Specimen	quant_reading	Effective_reads	ASVs
1	DR1014-E	33	5.93793398964896	3.36479657544092	Stipe	sep-30	2021	Monte obscuro Emiliano Zapata	1	159896	DRamos 1014	Ind_1	948	68295	135
2	DR1014-SAH	144	89.4721070511763	62.6638595577497	Soil associated	sep-30	2021	Monte obscuro Emiliano Zapata	1	223804	DRamos 1014	Ind_1	3071	40974	2118
3	DR1018-E	122	6.03792270790297	2.00433546201074	Stipe	oct-07	2021	Monte obscuro Emiliano Zapata	2	68578	DRamos 1018	Ind_3	97	23890	768
4	DR1018-SAH	153	91.5331822836644	64.9697799184323	Soil associated	oct-07	2021	Monte obscuro Emiliano Zapata	2	211120	DRamos 1018	Ind_3	4017	38161	1824
5	DR1019-E	122	61.4543875730995	33.4294249206275	Stipe	oct-07	2021	Monte obscuro Emiliano Zapata	2	144270	DRamos 1019	Ind_4	215	33853	1012
6	DR1019-SAH	153	96.4304967723795	66.5699220945224	Soil associated	oct-07	2021	Monte obscuro Emiliano Zapata	2	185380	DRamos 1019	Ind_4	3754	34576	2202
7	DR1025-E	128	49.859977325726	26.7987303063947	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	142622	DRamos 1025	Ind_7	87	41888	933
8	DR1025-SAH	171	104.14242712901	75.028789346657	Soil associated	oct-14	2021	Monte obscuro Emiliano Zapata	3	226164	DRamos 1025	Ind_7	3691	45971	2271
9	DR1027-E	84	8.91494063117466	2.98869130716976	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	164732	DRamos 1027	Ind_8	216	55793	697
10	DR1027-H	165	59.1373588110808	23.0818653083905	Rhizhomorph	oct-14	2021	Monte obscuro Emiliano Zapata	3	259464	DRamos 1027	Ind_8	87	63660	2008
11	DR1027-SAH	156	102.788000470106	78.7559631228533	Soil associated	oct-14	2021	Monte obscuro Emiliano Zapata	3	188024	DRamos 1027	Ind_8	3635	37192	2193
12	DR1030-E	59	8.84200759929462	4.07294923121468	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	174886	DRamos 1030	Ind_11	107	59738	476
